"id","chr","S2_Auxin1_r653","S2_Auxin2_r653","S2_Ctrl1_r653","S2_Ctrl2_r653"
"FBgn0000003","chr3R",161.568175097057,178.800317019514,152.686549672977,189.423101298365
"FBgn0000008","chr2R",4.19506951037569,3.75451388835327,4.51373966362933,5.47250874395536
"FBgn0000015","chr3R",0.297895936608095,0.294063001193225,0.28560018880419,0.385133732130794
"FBgn0000017","chr3L",15.8871190807782,16.0675370067999,15.9110694505409,16.9858853439925
"FBgn0000018","chr2L",83.7465866355399,77.6763637672654,80.2008081125979,89.942010133537
"FBgn0000022","chrX",0.938617361566654,0.705074691965267,2.51965178325605,4.02774810820795
"FBgn0000024","chr3R",0.517284282401444,0.529876183755553,0.61315378952912,0.69619261453584
"FBgn0000028","chrX",0.196860541928443,0.235261349083155,0.228769771623099,0.140793026672344
"FBgn0000032","chr3R",17.9008863479517,16.8085825551702,17.3074625358902,19.6920815757096
"FBgn0000036","chr3R",0.11959986133821,0.0867787665645748,0.0625436398447937,0.081648791102984
"FBgn0000037","chr2R",0.442270320573588,0.636767558741608,0.593621664985221,0.600985323004553
"FBgn0000042","chrX",565.275501131063,634.178173181107,583.648312718145,697.151896552247
"FBgn0000043","chr2R",447.623506834885,446.539378270617,470.01450420469,484.456365148329
"FBgn0000044","chr2R",1.56971096019014,1.47392792453154,1.9153535547407,1.07161497385184
"FBgn0000045","chr3L",1.82376197647436,1.30474427846502,1.16565708760734,2.42234467033031
"FBgn0000046","chr3R",4.24135758265119,3.37504398954946,4.96225735813733,2.77631734147712
"FBgn0000047","chr3R",2.18058497187152,3.51004574913144,2.0905806462523,2.8405839466039
"FBgn0000052","chr2L",21.5782136147948,18.0397175654683,20.5182734248496,24.929519015855
"FBgn0000053","chr2L",15.0356077863329,11.1065037892733,12.8330900743932,15.4338964920967
"FBgn0000057","chr2R",14.6701590952637,13.4323312708697,15.9539241944415,15.3464725032942
"FBgn0000063","chr3R",17.6863849308017,19.5749911547181,22.1786791304295,18.0358685330391
"FBgn0000064","chr3R",12.230226647417,11.076102885055,12.8870039092564,12.1149436981955
"FBgn0000071","chr3R",9.92542125127724,10.5301372473943,13.8410856579463,11.89242447422
"FBgn0000075","chr2L",0.565068530916871,0.571402796370234,0.250036223472036,0.373045224177804
"FBgn0000077","chrX",29.0423139714023,19.3163671767824,31.0920014561154,26.4827981172474
"FBgn0000078","chr2R",0.428547540533361,0.201198884062363,0.410859106980425,1.83896187769145
"FBgn0000079","chr2R",0.41260875978167,0.581147346586849,1.18673461314382,1.10660385936367
"FBgn0000083","chr3R",49.71417613612,59.794457994189,51.2346952459972,64.4153014748839
"FBgn0000084","chrX",89.6757476991265,73.0442386537473,90.8348124748773,101.285113954727
"FBgn0000092","chrX",3.42717340961634,3.35796404422973,5.14285944569519,5.1153099024173
"FBgn0000094","chr3R",15.0559415306046,10.4169099651643,9.87623878703523,14.4516344564549
"FBgn0000097","chr2L",19.6740268176111,20.605087601053,22.119145192078,25.7281769907274
"FBgn0000100","chr3L",254.216980265698,240.598469238612,284.124289480926,250.288245466865
"FBgn0000108","chrX",0.23025061371435,0.133046663337697,0.285272978612266,0.174807072376501
"FBgn0000109","chr3L",17.9821909164979,13.4551753716705,20.4724648159609,24.1138383471796
"FBgn0000114","chr2L",0.0161478474096475,0.0209942491026831,0.0238174461007983,0.0133255459898525
"FBgn0000115","chr3L",36.2968765000031,36.0559222673616,44.6068426539506,37.8864364838572
"FBgn0000116","chr3L",0.987099348443818,0.842606366775145,0.879442417614659,1.21939455076976
"FBgn0000117","chrX",18.1347575038438,17.3949438661121,18.1886815586169,17.3197089662458
"FBgn0000119","chr2R",9.13558381170453,8.99285370070486,9.90625337962562,10.0623871525385
"FBgn0000121","chr3L",1.12925475046515,0.963952862448037,0.590533313465895,0.881054869759637
"FBgn0000137","chrX",0.920300991480915,0.797671985805086,0.542963249653012,1.21512301922387
"FBgn0000139","chr3R",23.1141815377569,18.2768546420477,23.3264594496807,21.5622664027226
"FBgn0000140","chr3R",20.6944282581763,19.528579861164,19.147581888827,19.7647353595633
