"Geneid","ORE_male_1","CHD_male_1","ORE_male_2","CHD_male_2 "
"FBgn0028946","0","0","1","0"
"FBgn0028948","0","0","0","0"
"FBgn0028949","0","0","0","0"
"FBgn0028944","0","0","0","0"
"FBgn0028950","0","0","0","0"
"FBgn0028901","0","1","0","0"
"FBgn0028903","0","0","1","0"
"FBgn0028902","0","0","0","0"
"FBgn0051824","1","0","0","0"
"FBgn0051735","0","0","0","0"
"FBgn0032577","11","5","12","2"
"FBgn0028514","35","14","34","5"
"FBgn0028857","8","5","11","2"
"FBgn0028856","23","7","16","1"
"FBgn0028858","0","0","0","0"
"FBgn0028644","157","101","162","21"
"FBgn0045827","0","0","0","0"
"FBgn0000182","0","0","0","0"
"FBgn0013433","96","47","86","14"
"FBgn0051820","4","3","4","0"
"FBgn0028645","157","80","127","24"
"FBgn0051821","1","0","0","0"
"FBgn0051823","0","0","0","0"
"FBgn0041183","5","0","2","0"
"FBgn0028935","0","0","0","0"
"FBgn0051822","1","0","0","0"
"FBgn0028900","0","0","0","0"
"FBgn0028520","0","0","0","0"
"FBgn0028884","0","0","0","0"
"FBgn0028893","0","2","0","1"
"FBgn0028515","88","38","80","14"
"FBgn0028897","16","13","20","3"
"FBgn0040079","213","128","187","33"
"FBgn0028896","3","1","4","1"
"FBgn0001992","438","18","310","6"
"FBgn0028895","27","14","26","8"
"FBgn0028525","6","0","9","1"
"FBgn0011708","260","109","208","20"
"FBgn0001086","61","5","37","1"
"FBgn0014092","12","14","11","6"
"FBgn0040984","1","0","1","0"
"FBgn0028506","23","13","32","2"
"FBgn0025678","162","77","120","17"
"FBgn0000307","730","411","589","92"
"FBgn0028899","102","25","91","2"
"FBgn0001995","56","25","73","15"
"FBgn0000250","1694","385","1295","115"
"FBgn0000339","102","55","83","18"
"FBgn0015338","83","52","73","10"
"FBgn0028894","18","19","18","5"
"FBgn0028375","246","77","217","20"
"FBgn0032582","36","1","32","0"
"FBgn0001994","966","452","827","125"
"FBgn0002673","45","16","43","0"
"FBgn0024734","157","97","126","32"
"FBgn0020416","236","122","187","29"
"FBgn0020415","576","262","463","65"
"FBgn0020414","290","249","239","48"
"FBgn0032585","18","0","14","0"
"FBgn0032586","435","195","366","46"
"FBgn0051816","0","0","0","0"
"FBgn0051815","80","24","87","10"
"FBgn0032590","143","69","107","4"
"FBgn0032588","8","6","11","0"
"FBgn0032587","1027","227","835","64"
"FBgn0028523","76","31","59","11"
"FBgn0001185","77","20","44","6"
"FBgn0051812","1","3","7","1"
"FBgn0032597","45","35","34","8"
"FBgn0032598","4","3","4","0"
"FBgn0032600","925","553","727","107"
"FBgn0032601","56","26","43","6"
"FBgn0032603","137","88","103","22"
"FBgn0040262","1","2","0","0"
"FBgn0040261","1","0","0","0"
"FBgn0040260","136","81","103","28"
"FBgn0004797","78","96","75","16"
"FBgn0051739","276","164","202","33"
"FBgn0051781","149","100","118","34"
"FBgn0032615","0","1","0","0"
"FBgn0051809","7","11","5","1"
"FBgn0051810","0","1","3","0"
"FBgn0032614","92","43","60","10"
"FBgn0032613","34","44","38","12"
"FBgn0032612","4","2","4","0"
"FBgn0022213","122","83","111","24"
"FBgn0032609","24","8","7","2"
"FBgn0032602","4","0","4","0"
"FBgn0015391","52","23","64","11"
"FBgn0032596","67","32","38","8"
"FBgn0032595","0","0","0","0"
"FBgn0027779","878","497","748","121"
"FBgn0062978","507","218","489","42"
"FBgn0051807","8","1","4","1"
"FBgn0032593","23","5","23","1"
"FBgn0032618","0","0","0","0"
"FBgn0053179","279","151","201","33"
"FBgn0051806","9","7","6","0"
"FBgn0032625","0","0","0","0"
"FBgn0032624","0","0","0","0"
"FBgn0026150","48","45","59","8"
"FBgn0032620","26","21","26","1"
"FBgn0051805","21","19","34","2"
"FBgn0040985","201","94","223","22"
"FBgn0052832","0","0","2","0"
"FBgn0045487","1","0","0","0"
"FBgn0045486","1","1","1","0"
"FBgn0045485","0","0","4","0"
"FBgn0046888","0","0","1","1"
"FBgn0051804","0","1","2","0"
"FBgn0032633","519","316","435","71"
"FBgn0032632","0","0","0","0"
"FBgn0032629","162","90","132","18"
"FBgn0051784","0","0","1","0"
"FBgn0020503","1571","1042","1254","213"
"FBgn0032635","60","38","44","9"
"FBgn0032636","0","0","1","0"
"FBgn0032637","13","3","8","1"
"FBgn0032640","164","76","103","25"
"FBgn0032642","32","16","20","3"
"FBgn0032644","7","10","9","1"
"FBgn0013810","36","36","30","3"
"FBgn0032651","51","34","43","4"
"FBgn0032654","1","0","0","0"
"FBgn0032652","150","133","127","34"
"FBgn0032650","0","5","2","1"
"FBgn0032649","1","1","1","0"
"FBgn0032648","4","3","4","0"
"FBgn0032647","4","2","7","0"
"FBgn0032646","152","82","105","30"
"FBgn0032645","0","0","0","0"
"FBgn0003187","8","1","14","1"
"FBgn0032643","138","70","96","16"
"FBgn0024689","98","67","58","19"
"FBgn0000183","691","369","603","94"
"FBgn0032639","1","0","3","0"
"FBgn0032638","56","46","36","1"
"FBgn0011274","947","495","782","111"
"FBgn0051803","7","3","3","1"
"FBgn0032634","12","13","25","1"
"FBgn0032656","238","143","192","40"
"FBgn0032658","0","3","0","1"
"FBgn0051742","1","0","0","0"
"FBgn0040989","0","0","0","0"
"FBgn0051740","0","0","0","0"
"FBgn0000120","22468","11672","17811","3911"
"FBgn0002939","6","28","11","1"
"FBgn0051741","1","0","2","0"
"FBgn0032664","0","1","1","0"
"FBgn0032665","0","0","0","0"
"FBgn0041184","667","203","548","66"
"FBgn0051785","54","26","43","3"
"FBgn0032663","1","1","0","0"
"FBgn0032660","1","0","0","0"
"FBgn0023096","108","71","94","18"
"FBgn0032669","4","2","6","1"
"FBgn0032670","19","17","8","4"
"FBgn0032677","0","0","0","0"
"FBgn0000636","391","182","380","34"
"FBgn0011559","44","13","19","4"
"FBgn0051787","0","0","0","0"
"FBgn0051788","9","14","9","0"
"FBgn0051802","16","6","9","1"
"FBgn0032671","33","21","35","11"
"FBgn0032680","0","0","1","0"
"FBgn0032682","43","15","32","6"
"FBgn0032684","91","42","80","14"
"FBgn0032685","291","123","205","37"
"FBgn0032688","159","84","139","28"
"FBgn0051789","0","0","0","0"
"FBgn0032690","87","60","72","20"
"FBgn0032694","297","110","246","27"
"FBgn0032693","70","20","52","5"
"FBgn0032692","3","4","2","0"
"FBgn0032691","24","21","23","11"
"FBgn0032689","425","239","315","54"
"FBgn0003270","1","0","1","0"
"FBgn0032683","166","117","159","32"
"FBgn0032681","290","90","241","34"
"FBgn0032698","3","1","9","2"
"FBgn0032700","97","43","72","9"
"FBgn0032701","47","15","42","6"
"FBgn0032703","26","6","17","3"
"FBgn0032705","25","13","20","4"
"FBgn0032709","0","0","0","0"
"FBgn0040993","0","0","0","0"
"FBgn0027074","16","8","18","2"
"FBgn0032713","64","53","43","4"
"FBgn0027070","92","75","93","23"
"FBgn0015808","234","130","196","31"
"FBgn0032719","242","155","238","36"
"FBgn0003896","201","105","153","26"
"FBgn0053120","139","84","128","16"
"FBgn0051752","1","2","1","1"
"FBgn0032717","603","381","503","66"
"FBgn0032715","89","63","69","18"
"FBgn0040992","0","0","0","0"
"FBgn0045852","76","46","52","11"
"FBgn0032707","61","32","54","6"
"FBgn0032706","61","49","42","7"
"FBgn0025608","434","209","316","52"
"FBgn0032704","170","90","131","18"
"FBgn0032702","136","82","124","22"
"FBgn0005617","244","166","226","26"
"FBgn0015553","42","36","45","6"
"FBgn0032724","101","61","73","12"
"FBgn0032728","56","50","44","11"
"FBgn0032730","15","10","30","1"
"FBgn0032732","13","15","14","1"
"FBgn0032734","3","4","1","1"
"FBgn0051792","1","1","3","0"
"FBgn0051793","177","87","161","9"
"FBgn0028569","0","0","2","0"
"FBgn0032740","1","0","0","0"
"FBgn0032741","286","103","238","51"
"FBgn0002022","126","75","92","14"
"FBgn0032746","34","24","27","6"
"FBgn0032748","369","242","310","37"
"FBgn0032749","9","8","6","2"
"FBgn0032750","21","15","17","0"
"FBgn0032751","0","0","0","0"
"FBgn0032755","0","0","0","0"
"FBgn0000075","20","13","10","3"
"FBgn0002036","133","71","101","12"
"FBgn0010300","1473","621","1241","116"
"FBgn0002031","254","151","238","49"
"FBgn0000422","999","648","816","171"
"FBgn0002023","120","54","68","14"
"FBgn0032754","1","2","3","1"
"FBgn0053315","0","0","0","0"
"FBgn0032753","60","90","44","18"
"FBgn0032752","191","102","155","27"
"FBgn0002021","76","47","55","9"
"FBgn0032744","38","37","40","17"
"FBgn0051800","30","19","24","2"
"FBgn0001202","232","149","197","30"
"FBgn0046302","1","0","6","0"
"FBgn0032733","6","0","2","0"
"FBgn0032731","334","158","243","53"
"FBgn0032729","118","88","107","20"
"FBgn0015772","1243","718","967","168"
"FBgn0032727","41","29","60","5"
"FBgn0032726","59","172","50","30"
"FBgn0032725","25","17","31","2"
"FBgn0032723","363","211","300","61"
"FBgn0010309","149","80","144","22"
"FBgn0015380","198","107","165","22"
"FBgn0032769","0","0","1","0"
"FBgn0032770","17","20","10","4"
"FBgn0032771","0","0","0","0"
"FBgn0032772","45","12","35","2"
"FBgn0051798","37","21","25","10"
"FBgn0016675","16","9","20","5"
"FBgn0032780","1","9","4","2"
"FBgn0032779","37","42","45","12"
"FBgn0032781","68","28","61","20"
"FBgn0032782","142","67","92","16"
"FBgn0032783","427","233","347","75"
"FBgn0032775","250","222","234","55"
"FBgn0032774","693","714","636","201"
"FBgn0032773","1801","700","1552","183"
"FBgn0024245","103","51","76","9"
"FBgn0032768","0","0","1","0"
"FBgn0051797","0","0","0","0"
"FBgn0010097","0","0","1","0"
"FBgn0003346","30","21","19","3"
"FBgn0032785","33","21","34","7"
"FBgn0000964","141","37","94","15"
"FBgn0032788","0","1","1","0"
"FBgn0032791","11","7","15","1"
"FBgn0002044","646","394","510","77"
"FBgn0040268","77","30","37","6"
"FBgn0032798","683","336","498","65"
"FBgn0032800","278","153","221","39"
"FBgn0053116","133","66","96","19"
"FBgn0051697","6","5","5","0"
"FBgn0032803","21","14","18","4"
"FBgn0032804","3","0","4","0"
"FBgn0041180","1824","1015","1433","189"
"FBgn0032809","4","0","2","1"
"FBgn0032810","122","61","100","12"
"FBgn0027949","0","1","0","0"
"FBgn0032814","114","60","75","18"
"FBgn0000464","215","122","162","40"
"FBgn0005590","25","11","20","0"
"FBgn0032813","18","14","19","4"
"FBgn0032811","13","14","10","2"
"FBgn0032805","25","2","18","3"
"FBgn0032801","40","18","27","7"
"FBgn0032799","32","23","40","3"
"FBgn0032797","4528","2869","3437","728"
"FBgn0032796","898","434","711","101"
"FBgn0032793","35","9","30","3"
"FBgn0032790","37","20","25","3"
"FBgn0032787","33","22","18","7"
"FBgn0024230","105","51","81","13"
"FBgn0032816","19","13","14","3"
"FBgn0032819","34","15","18","7"
"FBgn0032822","17","6","7","3"
"FBgn0003931","3","1","2","0"
"FBgn0003923","0","0","0","0"
"FBgn0043021","0","2","0","0"
"FBgn0032833","1157","632","898","156"
"FBgn0032835","1699","231","1382","22"
"FBgn0032836","723","328","566","65"
"FBgn0014000","204","132","156","27"
"FBgn0042129","21","16","23","5"
"FBgn0032834","17","8","8","0"
"FBgn0053117","2","1","3","2"
"FBgn0044811","12","2","4","0"
"FBgn0032827","29","20","19","0"
"FBgn0003922","1","1","3","1"
"FBgn0032824","3","3","5","1"
"FBgn0043022","0","0","1","0"
"FBgn0004811","73","51","78","15"
"FBgn0032821","953","599","734","142"
"FBgn0032820","194","168","171","40"
"FBgn0032818","34","15","37","4"
"FBgn0032817","1796","1062","1370","257"
"FBgn0032840","491","261","467","66"
"FBgn0019686","16","14","21","2"
"FBgn0045064","134","93","124","14"
"FBgn0004374","15","3","18","0"
"FBgn0032846","42","9","28","7"
"FBgn0032848","4","4","3","1"
"FBgn0032850","13","9","20","4"
"FBgn0032849","30","15","25","0"
"FBgn0032847","22","14","17","1"
"FBgn0032845","78","45","58","10"
"FBgn0032843","40","27","22","2"
"FBgn0003978","31","12","18","3"
"FBgn0014127","36","23","28","1"
"FBgn0032839","0","1","0","0"
"FBgn0040996","1","1","0","0"
"FBgn0003475","1968","1019","1524","236"
"FBgn0015803","476","236","363","42"
"FBgn0032857","186","77","147","28"
"FBgn0032856","30","15","12","9"
"FBgn0026756","2","6","3","0"
"FBgn0011638","110","90","87","23"
"FBgn0032853","0","0","0","0"
"FBgn0032867","10","5","10","0"
"FBgn0032868","0","0","0","0"
"FBgn0051680","0","0","0","0"
"FBgn0032870","50","32","45","10"
"FBgn0042133","6","1","4","0"
"FBgn0032871","7","7","16","2"
"FBgn0032873","56","18","24","2"
"FBgn0032877","14","2","12","2"
"FBgn0032880","373","222","339","64"
"FBgn0032879","214","249","176","43"
"FBgn0032878","3","1","2","0"
"FBgn0014859","1898","252","1661","71"
"FBgn0032876","272","146","242","52"
"FBgn0051678","1165","529","923","142"
"FBgn0016054","5","2","3","1"
"FBgn0032869","3","0","0","0"
"FBgn0051677","9","5","12","1"
"FBgn0032882","105","58","77","7"
"FBgn0011202","414","204","276","32"
"FBgn0000251","0","0","0","1"
"FBgn0032884","88","69","65","13"
"FBgn0032886","283","161","249","39"
"FBgn0032889","233","231","200","45"
"FBgn0051673","65","48","40","16"
"FBgn0051674","3","6","2","0"
"FBgn0051676","29","56","18","15"
"FBgn0032894","0","1","2","0"
"FBgn0032895","35","12","18","3"
"FBgn0032897","483","269","460","69"
"FBgn0032899","110","66","86","14"
"FBgn0051675","9","6","11","2"
"FBgn0032900","28","26","29","15"
"FBgn0032908","16","3","9","3"
"FBgn0032901","115","71","125","16"
"FBgn0028986","0","1","0","1"
"FBgn0032891","10","5","9","2"
"FBgn0067312","0","0","0","0"
"FBgn0053322","11","4","4","2"
"FBgn0032883","116","58","88","23"
"FBgn0032881","88","49","53","9"
"FBgn0010395","14","10","5","2"
"FBgn0032911","295","127","244","33"
"FBgn0032913","0","0","0","0"
"FBgn0032916","0","0","0","0"
"FBgn0040297","309","183","278","38"
"FBgn0032919","103","38","80","12"
"FBgn0032921","8","8","6","0"
"FBgn0032923","55","46","46","7"
"FBgn0032925","48","25","28","6"
"FBgn0010100","3317","1713","2551","397"
"FBgn0051627","12","6","7","0"
"FBgn0032929","1","2","0","0"
"FBgn0026255","46","33","37","2"
"FBgn0026577","982","635","790","111"
"FBgn0021856","78","46","56","6"
"FBgn0032938","594","325","532","67"
"FBgn0051626","2","0","1","3"
"FBgn0032935","255","163","228","32"
"FBgn0032934","125","78","123","13"
"FBgn0003930","8","11","6","6"
"FBgn0051988","1","0","0","0"
"FBgn0051624","0","0","0","0"
"FBgn0011829","24","25","25","1"
"FBgn0000239","329","250","296","56"
"FBgn0032924","136","57","104","13"
"FBgn0032922","9","8","4","4"
"FBgn0024371","71","35","45","6"
"FBgn0023388","1133","729","958","182"
"FBgn0032910","181","88","146","28"
"FBgn0023091","14","6","9","0"
"FBgn0032943","179","68","194","25"
"FBgn0023090","6","3","8","0"
"FBgn0032945","122","292","90","26"
"FBgn0032946","3286","2322","3258","529"
"FBgn0041245","1","0","0","0"
"FBgn0032940","629","411","624","90"
"FBgn0041336","26","16","29","0"
"FBgn0037501","1","1","0","0"
"FBgn0037502","0","0","0","0"
"FBgn0037503","0","1","0","0"
"FBgn0011999","0","0","0","0"
"FBgn0003885","315","191","235","43"
"FBgn0015570","40","25","21","4"
"FBgn0051146","181","70","139","25"
"FBgn0015568","280","136","239","35"
"FBgn0015571","0","0","0","0"
"FBgn0015572","2","4","3","0"
"FBgn0015831","0","0","0","0"
"FBgn0015574","0","0","1","0"
"FBgn0015575","689","601","573","122"
"FBgn0017456","6","8","4","2"
"FBgn0015576","307","396","278","97"
"FBgn0037506","33","21","33","6"
"FBgn0015577","429","271","358","47"
"FBgn0015569","241","73","199","23"
"FBgn0012001","0","0","0","0"
"FBgn0037504","26","16","17","3"
"FBgn0043853","1627","723","1392","111"
"FBgn0012000","0","0","0","0"
"FBgn0040670","3","0","6","1"
"FBgn0037472","99","55","72","10"
"FBgn0051248","27","36","38","10"
"FBgn0051494","2","0","0","0"
"FBgn0051493","0","0","1","0"
"FBgn0037475","74","34","46","9"
"FBgn0037478","49","24","30","6"
"FBgn0011020","24","11","24","3"
"FBgn0002306","258","161","237","37"
"FBgn0037483","7","5","6","0"
"FBgn0037487","11","2","12","3"
"FBgn0037488","0","0","0","0"
"FBgn0037490","5","5","1","0"
"FBgn0037492","15","5","10","1"
"FBgn0028400","1046","617","843","158"
"FBgn0037493","5","7","3","0"
"FBgn0045843","7","8","6","4"
"FBgn0051496","0","0","0","0"
"FBgn0051501","0","0","0","0"
"FBgn0004172","0","0","0","0"
"FBgn0004173","0","0","0","0"
"FBgn0004174","0","0","1","0"
"FBgn0004175","0","0","0","0"
"FBgn0037500","0","0","0","0"
"FBgn0037498","0","0","1","0"
"FBgn0001112","94","56","77","10"
"FBgn0011282","0","0","0","0"
"FBgn0037491","26","17","13","7"
"FBgn0037489","53","28","45","15"
"FBgn0037486","0","0","0","0"
"FBgn0037485","0","0","1","0"
"FBgn0037482","112","52","82","13"
"FBgn0037481","13","2","9","0"
"FBgn0037477","0","0","0","0"
"FBgn0051491","0","0","0","0"
"FBgn0037473","40","30","40","12"
"FBgn0014863","482","321","406","67"
"FBgn0000071","2","0","7","1"
"FBgn0000439","117","93","78","31"
"FBgn0026162","0","0","0","0"
"FBgn0026164","0","0","0","0"
"FBgn0000003","1596","961","2492","1203"
"FBgn0001077","1","0","1","2"
"FBgn0024289","227","539","146","42"
"FBgn0026563","22","63","21","6"
"FBgn0037463","1","0","1","0"
"FBgn0037464","1","1","0","0"
"FBgn0037466","347","218","293","62"
"FBgn0037468","242","110","189","40"
"FBgn0037469","38","19","32","10"
"FBgn0003884","3188","1772","2374","393"
"FBgn0037470","161","80","164","12"
"FBgn0010774","324","173","247","39"
"FBgn0037467","242","120","182","33"
"FBgn0037465","146","63","119","16"
"FBgn0003339","129","63","86","21"
"FBgn0011904","0","0","0","0"
"FBgn0026163","0","0","0","0"
"FBgn0000166","0","0","0","0"
"FBgn0004053","0","0","0","0"
"FBgn0004054","0","0","0","0"
"FBgn0037448","260","173","209","25"
"FBgn0037449","3","3","6","0"
"FBgn0046873","21","11","14","8"
"FBgn0051482","0","0","0","0"
"FBgn0037462","0","0","0","0"
"FBgn0051286","2","1","1","0"
"FBgn0010355","723","486","563","92"
"FBgn0004777","8","2","5","0"
"FBgn0004780","0","0","0","0"
"FBgn0004783","0","0","0","0"
"FBgn0004782","0","0","0","0"
"FBgn0004781","0","0","0","0"
"FBgn0004779","0","0","0","0"
"FBgn0004778","0","0","0","0"
"FBgn0024912","11","9","4","1"
"FBgn0026566","53","29","42","15"
"FBgn0026565","6","1","2","2"
"FBgn0037461","0","0","0","0"
"FBgn0037460","0","0","0","0"
"FBgn0037456","0","0","0","0"
"FBgn0053202","429","276","395","54"
"FBgn0037454","66","32","53","5"
"FBgn0011919","1","0","0","0"
"FBgn0037429","0","0","4","0"
"FBgn0037430","2","0","1","0"
"FBgn0037431","7","2","18","0"
"FBgn0037432","7","2","12","0"
"FBgn0037433","99","49","55","13"
"FBgn0037435","26","4","12","2"
"FBgn0037436","2","0","2","1"
"FBgn0037439","43","20","33","3"
"FBgn0010282","68","43","59","5"
"FBgn0037442","541","302","432","64"
"FBgn0037446","95","44","79","10"
"FBgn0037447","93","72","67","18"
"FBgn0037445","846","434","659","110"
"FBgn0037443","912","473","755","115"
"FBgn0037440","90","93","77","41"
"FBgn0037512","2","0","0","0"
"FBgn0037514","0","0","0","0"
"FBgn0037515","138","67","103","22"
"FBgn0037517","1","1","0","0"
"FBgn0037518","22","7","20","1"
"FBgn0051472","60","40","56","8"
"FBgn0051473","6","3","6","0"
"FBgn0037526","52","41","41","7"
"FBgn0024909","31","14","23","4"
"FBgn0014931","3","2","5","0"
"FBgn0002542","20","22","18","9"
"FBgn0000504","329","280","277","83"
"FBgn0037531","17","8","11","2"
"FBgn0014930","96","70","79","20"
"FBgn0004901","27","24","27","6"
"FBgn0037530","577","272","468","66"
"FBgn0037529","179","109","158","24"
"FBgn0037521","1192","555","1005","131"
"FBgn0037520","5","5","7","2"
"FBgn0037519","11","3","7","1"
"FBgn0042101","1","0","1","0"
"FBgn0042103","0","0","0","0"
"FBgn0042105","0","0","0","0"
"FBgn0042102","0","1","0","0"
"FBgn0042104","3","0","0","0"
"FBgn0037516","1","0","1","0"
"FBgn0037513","92","42","68","15"
"FBgn0010401","7","5","1","13"
"FBgn0037535","9","6","8","2"
"FBgn0037536","695","375","618","72"
"FBgn0037538","54","20","31","6"
"FBgn0037540","33","19","22","8"
"FBgn0037543","11","6","6","1"
"FBgn0037546","246","109","166","19"
"FBgn0037547","1","0","1","0"
"FBgn0037548","15","16","24","4"
"FBgn0037551","159","95","159","16"
"FBgn0037552","34","14","28","9"
"FBgn0037553","42","40","33","12"
"FBgn0037554","123","62","101","17"
"FBgn0040528","5","5","20","1"
"FBgn0037556","355","198","309","43"
"FBgn0001138","131","54","113","8"
"FBgn0011959","0","0","0","0"
"FBgn0011960","0","0","0","0"
"FBgn0011961","0","0","0","0"
"FBgn0011962","0","0","0","0"
"FBgn0011963","0","0","0","0"
"FBgn0051583","0","0","0","0"
"FBgn0037544","26","12","11","6"
"FBgn0037541","2159","1106","1686","274"
"FBgn0001255","22","15","9","2"
"FBgn0037539","77","70","76","14"
"FBgn0040524","20","4","11","0"
"FBgn0037537","239","178","226","59"
"FBgn0037534","267","107","219","26"
"FBgn0037533","827","494","637","130"
"FBgn0014861","9","2","5","2"
"FBgn0010433","2","1","1","0"
"FBgn0037562","0","0","0","0"
"FBgn0051464","0","0","0","0"
"FBgn0051463","2","0","0","0"
"FBgn0037566","59","32","52","9"
"FBgn0037572","0","0","0","0"
"FBgn0037573","91","61","71","21"
"FBgn0062412","11","4","6","3"
"FBgn0037576","1","0","1","0"
"FBgn0037577","0","0","2","0"
"FBgn0004908","19","8","18","3"
"FBgn0037579","0","1","2","0"
"FBgn0037580","247","112","184","18"
"FBgn0037581","11","3","9","2"
"FBgn0020249","197","101","187","32"
"FBgn0037584","5","5","2","1"
"FBgn0037589","36","27","18","2"
"FBgn0037583","33","24","32","7"
"FBgn0037578","50","19","18","2"
"FBgn0040529","317","201","317","60"
"FBgn0003129","4","3","1","0"
"FBgn0037574","54","30","39","8"
"FBgn0037571","0","0","0","0"
"FBgn0037570","1","0","3","0"
"FBgn0037569","10","2","16","2"
"FBgn0037565","62","29","36","6"
"FBgn0037563","0","0","0","0"
"FBgn0037561","28","19","24","3"
"FBgn0010173","98","90","86","24"
"FBgn0037592","127","94","123","21"
"FBgn0051454","6","5","1","1"
"FBgn0051259","2","2","3","2"
"FBgn0037594","1","1","0","0"
"FBgn0051460","0","0","0","0"
"FBgn0037602","7","4","6","2"
"FBgn0037603","27","10","34","2"
"FBgn0037606","178","98","136","23"
"FBgn0037607","1132","802","781","158"
"FBgn0012024","0","0","0","0"
"FBgn0012025","0","0","0","0"
"FBgn0012026","0","0","0","0"
"FBgn0000447","83","36","74","14"
"FBgn0024326","418","261","351","73"
"FBgn0037601","14","2","8","2"
"FBgn0012027","0","0","0","0"
"FBgn0012028","0","0","0","0"
"FBgn0026399","0","0","3","1"
"FBgn0051450","20","4","9","4"
"FBgn0051453","28","6","20","5"
"FBgn0037591","0","0","1","0"
"FBgn0037590","1","1","1","0"
"FBgn0037608","28","16","19","6"
"FBgn0037610","32","21","29","4"
"FBgn0037611","7","0","4","0"
"FBgn0037612","0","0","0","0"
"FBgn0037614","77","45","86","16"
"FBgn0037615","5","4","4","1"
"FBgn0037616","15","8","12","3"
"FBgn0037617","27","10","24","3"
"FBgn0037618","2","1","1","0"
"FBgn0037619","25","13","17","1"
"FBgn0037622","91","46","71","12"
"FBgn0037624","9","3","6","3"
"FBgn0037626","10","8","5","1"
"FBgn0037630","86","32","77","6"
"FBgn0037632","292","108","232","42"
"FBgn0037634","18","10","15","3"
"FBgn0040532","359","428","302","110"
"FBgn0037638","120","90","97","24"
"FBgn0011966","3","1","3","0"
"FBgn0037637","361","272","292","75"
"FBgn0037633","65","42","52","6"
"FBgn0053189","32","22","30","3"
"FBgn0053191","43","25","26","5"
"FBgn0037627","80","42","75","5"
"FBgn0037625","1","5","3","1"
"FBgn0037623","256","137","234","20"
"FBgn0037621","50","25","44","9"
"FBgn0037620","11","12","17","2"
"FBgn0037613","22","5","10","1"
"FBgn0001180","56","34","47","4"
"FBgn0053325","0","2","1","0"
"FBgn0037609","54","33","45","5"
"FBgn0037643","1569","719","1270","187"
"FBgn0037646","58","28","57","5"
"FBgn0027503","194","145","186","42"
"FBgn0037648","116","61","82","17"
"FBgn0037650","3","1","2","0"
"FBgn0037652","66","31","42","8"
"FBgn0037653","138","92","125","19"
"FBgn0037654","13","6","10","0"
"FBgn0037656","12","6","7","4"
"FBgn0037657","151","80","117","20"
"FBgn0028708","76","33","48","5"
"FBgn0037659","771","358","609","84"
"FBgn0037661","11","6","3","1"
"FBgn0037662","251","33","202","4"
"FBgn0037664","2","0","2","0"
"FBgn0037665","5","0","3","1"
"FBgn0037666","0","1","0","0"
"FBgn0037667","8","5","4","2"
"FBgn0037670","11","8","13","2"
"FBgn0037671","762","394","516","94"
"FBgn0010803","152","66","129","27"
"FBgn0037672","72","24","61","2"
"FBgn0037669","9","12","5","3"
"FBgn0037668","3","2","1","1"
"FBgn0000412","190","155","196","39"
"FBgn0003165","3350","1705","2645","404"
"FBgn0037660","100","54","57","12"
"FBgn0010222","387","233","319","22"
"FBgn0002932","43","25","42","10"
"FBgn0040534","6","5","16","4"
"FBgn0037655","707","436","599","104"
"FBgn0026380","90","49","62","9"
"FBgn0051100","72","56","48","20"
"FBgn0037647","89","51","67","10"
"FBgn0037644","94","47","87","10"
"FBgn0037675","13","2","9","1"
"FBgn0037680","93","31","63","6"
"FBgn0037683","23","10","15","1"
"FBgn0037684","109","53","84","20"
"FBgn0037685","9","7","12","0"
"FBgn0037687","33","8","39","4"
"FBgn0037689","0","0","0","0"
"FBgn0011740","191","103","148","23"
"FBgn0037697","146","130","104","14"
"FBgn0037696","14","16","25","5"
"FBgn0037690","95","52","69","13"
"FBgn0003889","10","7","12","4"
"FBgn0037688","98","40","59","16"
"FBgn0037686","954","440","864","119"
"FBgn0000723","778","550","637","124"
"FBgn0037679","108","69","75","17"
"FBgn0037678","8","8","4","3"
"FBgn0037677","1","1","0","0"
"FBgn0037676","197","142","178","42"
"FBgn0037700","32","19","25","6"
"FBgn0014022","20","15","20","2"
"FBgn0037703","111","55","64","18"
"FBgn0037702","659","349","552","76"
"FBgn0037707","43","30","41","10"
"FBgn0037709","72","35","66","13"
"FBgn0027950","62","36","71","13"
"FBgn0037712","84","50","87","11"
"FBgn0037717","203","153","166","27"
"FBgn0037718","207","107","149","24"
"FBgn0037720","512","269","410","55"
"FBgn0037722","16","10","16","4"
"FBgn0037723","11","9","5","2"
"FBgn0012344","207","97","185","33"
"FBgn0037727","56","17","32","4"
"FBgn0037728","198","82","168","25"
"FBgn0028997","2","1","2","2"
"FBgn0037731","0","0","0","0"
"FBgn0052939","0","1","0","0"
"FBgn0003886","0","0","0","0"
"FBgn0002431","2035","1219","1706","284"
"FBgn0037734","470","260","382","69"
"FBgn0051352","294","201","255","47"
"FBgn0053105","0","0","0","0"
"FBgn0260463","0","0","0","0"
"FBgn0069242","70","25","62","7"
"FBgn0037730","43","29","24","7"
"FBgn0037724","3","0","2","0"
"FBgn0003334","623","332","476","105"
"FBgn0005585","1345","671","1052","190"
"FBgn0037721","92","46","67","15"
"FBgn0027338","801","390","658","121"
"FBgn0037715","203","132","180","18"
"FBgn0037714","91","77","88","10"
"FBgn0037713","17","12","18","1"
"FBgn0037710","54","28","43","4"
"FBgn0024833","239","127","183","24"
