"Geneid","ORE_fem_1 ","CHD_fem_1 ","ORE_fem_2 ","CHD_fem_2 "
"FBgn0040551","18","4","12","3"
"FBgn0003598","134","70","86","27"
"FBgn0038130","13","12","10","1"
"FBgn0038133","1","0","2","0"
"FBgn0038135","0","0","0","0"
"FBgn0038136","0","0","0","0"
"FBgn0052473","148","63","112","28"
"FBgn0038140","20","0","6","3"
"FBgn0045442","0","0","1","0"
"FBgn0027610","277","84","162","57"
"FBgn0038142","7","4","0","4"
"FBgn0038144","2","2","0","2"
"FBgn0038145","1119","252","818","162"
"FBgn0038148","2","0","0","0"
"FBgn0041711","11","7","7","3"
"FBgn0038151","0","0","0","0"
"FBgn0038150","0","0","0","0"
"FBgn0038149","153","78","95","49"
"FBgn0040553","0","0","0","0"
"FBgn0038147","49","56","27","41"
"FBgn0038146","78","22","64","18"
"FBgn0044511","9","1","4","3"
"FBgn0038143","1652","545","968","300"
"FBgn0023495","7","0","4","0"
"FBgn0038134","0","0","0","0"
"FBgn0038132","2","0","0","2"
"FBgn0038129","93","51","54","37"
"FBgn0038128","13","12","17","4"
"FBgn0000024","1484","629","1019","328"
"FBgn0038127","10","10","12","3"
"FBgn0038126","4","2","3","0"
"FBgn0038123","0","0","0","0"
"FBgn0038153","0","0","0","0"
"FBgn0000046","277","57","110","33"
"FBgn0038158","0","0","0","0"
"FBgn0038159","0","0","0","0"
"FBgn0051337","0","0","0","0"
"FBgn0038157","0","1","0","0"
"FBgn0040554","6","2","4","0"
"FBgn0004049","205","98","173","42"
"FBgn0038161","0","0","0","0"
"FBgn0038163","3","1","8","2"
"FBgn0015778","824","271","535","152"
"FBgn0038167","74","32","70","34"
"FBgn0024555","792","296","420","181"
"FBgn0038170","13","5","12","8"
"FBgn0002937","101","89","71","39"
"FBgn0038173","18","15","9","4"
"FBgn0038179","29","14","21","9"
"FBgn0038180","3","6","6","2"
"FBgn0038181","619","207","316","81"
"FBgn0260464","0","0","0","0"
"FBgn0038183","21","8","9","7"
"FBgn0000454","139","51","78","44"
"FBgn0051588","0","0","0","0"
"FBgn0051331","0","0","0","0"
"FBgn0038172","239","82","260","65"
"FBgn0028487","162","76","138","43"
"FBgn0038168","134","45","78","40"
"FBgn0038166","42","9","19","10"
"FBgn0038165","302","133","192","71"
"FBgn0004237","241","112","160","67"
"FBgn0010258","3","1","4","1"
"FBgn0003060","3","0","3","1"
"FBgn0038160","106","15","53","6"
"FBgn0000576","10","4","7","3"
"FBgn0047199","0","0","1","0"
"FBgn0016672","350","129","229","108"
"FBgn0015270","7","1","4","1"
"FBgn0038195","226","84","135","45"
"FBgn0038196","24","1","16","6"
"FBgn0038191","1","0","2","0"
"FBgn0038190","0","0","0","0"
"FBgn0038189","0","0","0","0"
"FBgn0038188","0","1","1","0"
"FBgn0008646","12","7","4","5"
"FBgn0038186","0","0","0","0"
"FBgn0051495","2","3","1","2"
"FBgn0002862","0","0","0","0"
"FBgn0038197","548","201","313","108"
"FBgn0038198","141","51","76","32"
"FBgn0038203","0","0","0","0"
"FBgn0038206","30","14","28","16"
"FBgn0038210","1","0","1","0"
"FBgn0027083","53","37","34","11"
"FBgn0038214","1","2","1","0"
"FBgn0038213","5","0","3","5"
"FBgn0027563","106","34","74","31"
"FBgn0053329","87","29","63","26"
"FBgn0053109","2","2","1","1"
"FBgn0051326","400","143","244","104"
"FBgn0038211","259","61","175","66"
"FBgn0011582","795","225","476","100"
"FBgn0051327","0","0","1","0"
"FBgn0051533","0","0","0","0"
"FBgn0038209","0","0","1","0"
"FBgn0038208","1","0","2","0"
"FBgn0038207","4","1","6","1"
"FBgn0010340","22","5","8","2"
"FBgn0020510","161","81","128","40"
"FBgn0038205","22","4","20","3"
"FBgn0038204","0","0","0","1"
"FBgn0038202","87","31","42","20"
"FBgn0038200","3","0","3","1"
"FBgn0038199","15","6","10","3"
"FBgn0011971","0","0","0","0"
"FBgn0038219","0","0","2","1"
"FBgn0038221","9","2","8","1"
"FBgn0004855","21","12","12","4"
"FBgn0051321","27","11","17","14"
"FBgn0013767","48","13","33","4"
"FBgn0011474","135","58","95","26"
"FBgn0038224","239","57","114","63"
"FBgn0003480","9","1","7","0"
"FBgn0038225","3","0","0","0"
"FBgn0024321","339","99","149","54"
"FBgn0038223","262","116","215","81"
"FBgn0003567","102","34","69","14"
"FBgn0038218","0","0","0","0"
"FBgn0038217","1","0","1","0"
"FBgn0038234","15","5","7","1"
"FBgn0038236","93","53","62","21"
"FBgn0038239","0","0","0","0"
"FBgn0038240","0","0","0","0"
"FBgn0038242","0","0","2","0"
"FBgn0020299","240","77","120","49"
"FBgn0038246","280","84","124","65"
"FBgn0013981","357","99","218","68"
"FBgn0038247","10","5","4","0"
"FBgn0038250","54","26","37","28"
"FBgn0038251","23","10","28","13"
"FBgn0038252","2","0","4","0"
"FBgn0025808","13","8","9","8"
"FBgn0038248","4","0","1","0"
"FBgn0003169","277","91","228","63"
"FBgn0038244","413","178","327","95"
"FBgn0004629","0","0","0","0"
"FBgn0038243","22","17","12","1"
"FBgn0051313","55","50","49","52"
"FBgn0038241","1","0","2","1"
"FBgn0038238","2","1","1","3"
"FBgn0038237","530","230","346","115"
"FBgn0038235","10","3","10","1"
"FBgn0038233","30","15","11","4"
"FBgn0038260","9","9","11","4"
"FBgn0038261","8","4","8","3"
"FBgn0038262","6","7","7","5"
"FBgn0038266","24","12","10","5"
"FBgn0038268","34","17","15","7"
"FBgn0067628","10","2","5","1"
"FBgn0067629","5","2","6","3"
"FBgn0038271","1325","541","927","300"
"FBgn0038273","1","0","0","1"
"FBgn0038275","6","2","8","2"
"FBgn0038279","54","34","29","12"
"FBgn0028662","340","178","191","83"
"FBgn0038277","1","1","1","1"
"FBgn0038274","30","6","24","7"
"FBgn0038272","22","11","30","10"
"FBgn0004597","13","4","10","5"
"FBgn0038269","66","33","43","16"
"FBgn0038258","50","16","35","16"
"FBgn0038257","205","44","142","40"
"FBgn0011217","683","177","415","112"
"FBgn0038256","210","74","164","49"
"FBgn0038280","13","0","8","0"
"FBgn0038281","0","0","0","0"
"FBgn0038291","0","0","0","0"
"FBgn0038292","24","13","21","2"
"FBgn0038296","66","28","49","22"
"FBgn0038294","1632","746","848","355"
"FBgn0038290","252","60","210","40"
"FBgn0038286","638","207","403","128"
"FBgn0038285","8","0","4","0"
"FBgn0038300","38","28","20","10"
"FBgn0038302","5","12","7","3"
"FBgn0038304","85","29","38","16"
"FBgn0038307","14","5","8","2"
"FBgn0014879","48","19","19","11"
"FBgn0016691","364","98","248","87"
"FBgn0038312","22","7","6","3"
"FBgn0038313","4","0","3","1"
"FBgn0004117","403","122","179","73"
"FBgn0038315","3","0","1","0"
"FBgn0026441","176","69","103","39"
"FBgn0000533","31","22","16","8"
"FBgn0038319","33","8","25","10"
"FBgn0038320","271","139","154","102"
"FBgn0021750","58","20","50","19"
"FBgn0051301","52","13","19","17"
"FBgn0038324","11","8","12","5"
"FBgn0038326","65","22","56","21"
"FBgn0038327","20","5","16","3"
"FBgn0038331","77","18","38","13"
"FBgn0041188","996","500","528","246"
"FBgn0038339","8","1","7","1"
"FBgn0038337","47","34","25","17"
"FBgn0038334","9","2","2","3"
"FBgn0038332","15","0","8","4"
"FBgn0038330","81","30","54","13"
"FBgn0026737","22","4","13","4"
"FBgn0026634","39","19","40","12"
"FBgn0038325","107","53","80","28"
"FBgn0019925","207","89","127","56"
"FBgn0038321","53","42","64","33"
"FBgn0013269","49","12","24","6"
"FBgn0038318","53","32","34","20"
"FBgn0038316","72","35","47","18"
"FBgn0011476","0","0","0","0"
"FBgn0027378","49","9","16","9"
"FBgn0000283","349","160","247","102"
"FBgn0038311","4","4","2","1"
"FBgn0038309","19","8","20","8"
"FBgn0045035","135","39","110","29"
"FBgn0038306","31","7","14","7"
"FBgn0051344","84","31","36","24"
"FBgn0051155","16","8","14","1"
"FBgn0038303","123","60","97","27"
"FBgn0038301","59","87","33","63"
"FBgn0038299","192","27","254","90"
"FBgn0028984","169","68","121","62"
"FBgn0000047","2","11","3","2"
"FBgn0038342","2","0","2","0"
"FBgn0019940","835","264","448","171"
"FBgn0038344","109","46","67","46"
"FBgn0038345","0","0","1","0"
"FBgn0038350","1","6","7","3"
"FBgn0038349","427","201","386","98"
"FBgn0038348","3","1","8","3"
"FBgn0051296","5","1","2","0"
"FBgn0038343","17","5","11","6"
"FBgn0053207","94","44","54","19"
"FBgn0051446","0","0","0","0"
"FBgn0038353","0","1","0","2"
"FBgn0038354","9","7","5","4"
"FBgn0038355","0","0","0","0"
"FBgn0038356","0","0","0","0"
"FBgn0038358","5","0","7","0"
"FBgn0038359","0","0","0","0"
"FBgn0038360","50","15","34","16"
"FBgn0038361","0","0","1","1"
"FBgn0038363","16","8","8","4"
"FBgn0038365","5","4","10","0"
"FBgn0026616","360","131","182","64"
"FBgn0038366","19","6","15","11"
"FBgn0038369","19","5","12","1"
"FBgn0003483","21","6","13","7"
"FBgn0038373","9","9","5","2"
"FBgn0038377","4","3","2","0"
"FBgn0051183","183","108","174","88"
"FBgn0038376","152","55","81","49"
"FBgn0038371","6","1","3","5"
"FBgn0017567","206","90","117","54"
"FBgn0003227","11","2","9","2"
"FBgn0000246","17","9","11","4"
"FBgn0038357","0","0","0","0"
"FBgn0051294","0","0","0","0"
"FBgn0051292","0","0","0","0"
"FBgn0038381","10","9","13","8"
"FBgn0038385","28","7","14","17"
"FBgn0038387","22","6","14","6"
"FBgn0013334","2016","767","1266","400"
"FBgn0038389","12","5","10","3"
"FBgn0038390","6","3","2","0"
"FBgn0022787","475","202","257","146"
"FBgn0038391","1","1","0","0"
"FBgn0003117","8","1","1","3"
"FBgn0038394","1","0","1","0"
"FBgn0038396","6","2","5","2"
"FBgn0027948","827","358","546","209"
"FBgn0038398","76","47","50","24"
"FBgn0010379","352","106","244","61"
"FBgn0052855","77","18","39","17"
"FBgn0038397","201","97","167","49"
"FBgn0024222","55","17","35","6"
"FBgn0038395","13","4","7","2"
"FBgn0002783","232","109","146","60"
"FBgn0052856","9","1","4","0"
"FBgn0038388","89","43","47","22"
"FBgn0051088","0","0","0","0"
"FBgn0038386","0","0","0","0"
"FBgn0027657","236","113","196","103"
"FBgn0038380","7","0","2","1"
"FBgn0003319","17","2","9","2"
"FBgn0038401","46","11","27","4"
"FBgn0063649","115","47","73","19"
"FBgn0038404","11","4","4","8"
"FBgn0051287","2","0","2","0"
"FBgn0040071","352","161","176","86"
"FBgn0020407","33","7","20","4"
"FBgn0020399","2","0","1","0"
"FBgn0038412","33","21","7","19"
"FBgn0011858","0","0","0","0"
"FBgn0012011","0","0","0","0"
"FBgn0038414","22","9","14","4"
"FBgn0038415","16","2","15","4"
"FBgn0038416","19","15","20","8"
"FBgn0040271","341","136","201","71"
"FBgn0038407","94","40","49","34"
"FBgn0024491","81","27","61","13"
"FBgn0038402","9","2","5","0"
"FBgn0038400","375","95","276","68"
"FBgn0038418","49","13","28","7"
"FBgn0027095","59","14","48","13"
"FBgn0051279","0","0","0","0"
"FBgn0051282","0","0","0","0"
"FBgn0038424","57","22","39","12"
"FBgn0038425","12","3","6","4"
"FBgn0038429","27","7","22","5"
"FBgn0038431","0","0","0","1"
"FBgn0038432","59","24","34","8"
"FBgn0027053","38","19","18","4"
"FBgn0038435","0","0","0","0"
"FBgn0038436","1","1","2","0"
"FBgn0038445","1","1","1","0"
"FBgn0038446","7","2","4","1"
"FBgn0028381","1","2","0","0"
"FBgn0038439","19","7","12","5"
"FBgn0038438","62","30","33","21"
"FBgn0038437","7","8","6","8"
"FBgn0044826","330","126","202","75"
"FBgn0038428","39","15","25","10"
"FBgn0038426","21","9","11","2"
"FBgn0051497","0","0","0","0"
"FBgn0003513","63","34","53","19"
"FBgn0038423","2","0","0","0"
"FBgn0038422","90","58","34","21"
"FBgn0038421","8","0","6","3"
"FBgn0038420","112","59","67","32"
"FBgn0038419","10","2","7","2"
"FBgn0038447","20","14","28","4"
"FBgn0027109","29","10","14","8"
"FBgn0038449","0","0","0","0"
"FBgn0038450","0","0","0","0"
"FBgn0038451","0","0","0","0"
"FBgn0015520","62","34","55","18"
"FBgn0038453","65","26","44","13"
"FBgn0015019","224","83","259","46"
"FBgn0015230","0","0","0","0"
"FBgn0020556","0","0","0","0"
"FBgn0063261","0","0","0","0"
"FBgn0003944","1","1","1","0"
"FBgn0051217","153","79","136","55"
"FBgn0038455","20","6","12","0"
"FBgn0015351","8","2","14","3"
"FBgn0038454","16","6","10","3"
"FBgn0038452","0","0","1","0"
"FBgn0022344","52","16","56","7"
"FBgn0027562","341","114","130","52"
"FBgn0020907","116","72","101","33"
"FBgn0038458","0","0","0","0"
"FBgn0043069","0","0","0","0"
"FBgn0038463","105","55","63","31"
"FBgn0038465","766","183","534","330"
"FBgn0038466","23","6","31","3"
"FBgn0038467","333","86","308","77"
"FBgn0038462","11","8","9","7"
"FBgn0038461","13","7","10","4"
"FBgn0038460","45","22","42","9"
"FBgn0015011","40","17","28","6"
"FBgn0015008","0","0","0","0"
"FBgn0000015","1","0","0","0"
"FBgn0000014","0","0","0","0"
"FBgn0038468","0","0","0","0"
"FBgn0051268","0","0","0","0"
"FBgn0038471","22","6","13","3"
"FBgn0038476","94","43","48","23"
"FBgn0038478","92","27","52","13"
"FBgn0051269","0","0","0","0"
"FBgn0051265","0","0","0","0"
"FBgn0051267","0","0","0","0"
"FBgn0038484","0","0","0","0"
"FBgn0038485","0","0","0","0"
"FBgn0038486","0","0","0","0"
"FBgn0038490","7","4","5","5"
"FBgn0038491","24","11","11","5"
"FBgn0038494","79","38","47","26"
"FBgn0051262","0","1","0","0"
"FBgn0038492","1","1","1","2"
"FBgn0038488","148","66","120","30"
"FBgn0038487","2","2","2","0"
"FBgn0038482","0","0","0","0"
"FBgn0038481","0","0","0","0"
"FBgn0038479","0","0","0","0"
"FBgn0038475","128","50","75","32"
"FBgn0038473","62","19","31","15"
"FBgn0038472","21","7","12","2"
"FBgn0038470","9","1","8","0"
"FBgn0038469","0","0","0","0"
"FBgn0051418","0","0","0","0"
"FBgn0051419","0","0","0","0"
"FBgn0028992","21","8","16","9"
"FBgn0038505","0","0","0","0"
"FBgn0038506","0","0","0","0"
"FBgn0038507","0","0","0","0"
"FBgn0038508","0","1","0","0"
"FBgn0053333","0","0","0","0"
"FBgn0038511","6","0","1","0"
"FBgn0038512","0","0","1","0"
"FBgn0000564","0","0","0","1"
"FBgn0038510","4","1","1","0"
"FBgn0038509","0","0","0","0"
"FBgn0038504","504","148","332","90"
"FBgn0038499","83","30","61","24"
"FBgn0038498","156","74","108","39"
"FBgn0038516","0","0","0","0"
"FBgn0025571","350","210","236","120"
"FBgn0038523","0","0","0","0"
"FBgn0003375","0","0","0","0"
"FBgn0038524","36","21","24","12"
"FBgn0038525","0","0","1","1"
"FBgn0038526","4","0","2","0"
"FBgn0012002","0","0","0","0"
"FBgn0038528","0","0","0","0"
"FBgn0051570","0","0","0","0"
"FBgn0011945","0","0","0","0"
"FBgn0038530","0","13","0","34"
"FBgn0038531","0","0","0","0"
"FBgn0051573","0","0","0","0"
"FBgn0051578","0","0","0","0"
"FBgn0051579","0","0","0","0"
"FBgn0051577","0","0","1","0"
"FBgn0038532","111","54","64","18"
"FBgn0051576","0","0","0","0"
"FBgn0000063","17","2","10","1"
"FBgn0038536","15","1","6","3"
"FBgn0051360","6","1","9","1"
"FBgn0051249","29","14","14","6"
"FBgn0051251","9","4","6","1"
"FBgn0038533","31","14","20","8"
"FBgn0051575","0","1","0","0"
"FBgn0051580","1","0","0","0"
"FBgn0051568","0","1","0","1"
"FBgn0051569","0","0","0","0"
"FBgn0051591","0","0","0","0"
"FBgn0011994","0","0","0","0"
"FBgn0011993","0","0","0","0"
"FBgn0038529","0","0","0","0"
"FBgn0011840","0","0","0","0"
"FBgn0038527","0","0","0","0"
"FBgn0011944","0","0","0","0"
"FBgn0004554","4","0","3","0"
"FBgn0038519","182","41","120","28"
"FBgn0010926","48","16","31","6"
"FBgn0038515","116","38","82","23"
"FBgn0016650","99","62","73","20"
"FBgn0038540","7","4","7","2"
"FBgn0038541","16","7","10","2"
"FBgn0038545","11","1","11","4"
"FBgn0038558","18","2","6","4"
"FBgn0038552","106","34","72","28"
"FBgn0038551","22","16","32","11"
"FBgn0038550","0","1","0","0"
"FBgn0038549","19","9","21","2"
"FBgn0038548","32","18","36","10"
"FBgn0038546","95","27","76","25"
"FBgn0038542","105","28","103","12"
"FBgn0038539","1","0","0","0"
"FBgn0000477","77","56","34","50"
"FBgn0038564","30","9","27","7"
"FBgn0038565","7","0","3","1"
"FBgn0038566","2","0","0","0"
"FBgn0003499","266","33","118","31"
"FBgn0051242","0","0","0","0"
"FBgn0051518","1","0","0","0"
"FBgn0038567","0","0","0","0"
"FBgn0038568","0","0","0","0"
"FBgn0010389","133","53","124","24"
"FBgn0022943","19","6","19","1"
"FBgn0042693","675","330","503","172"
"FBgn0038576","42","13","17","9"
"FBgn0038578","27","13","30","6"
"FBgn0028499","63","27","31","12"
"FBgn0038581","48","16","33","6"
"FBgn0038582","3","4","4","0"
"FBgn0038585","26","11","9","5"
"FBgn0011701","152","109","51","53"
"FBgn0020238","1253","406","731","226"
"FBgn0038589","0","0","0","0"
"FBgn0038592","10","1","8","0"
"FBgn0026250","416","179","219","77"
"FBgn0038597","54","10","22","12"
"FBgn0024432","46","19","20","15"
"FBgn0038607","4","4","0","0"
"FBgn0038609","14","8","6","2"
"FBgn0040569","0","0","0","0"
"FBgn0038611","0","0","0","1"
"FBgn0038610","129","74","51","41"
"FBgn0038608","0","1","0","0"
"FBgn0038606","297","129","192","66"
"FBgn0038603","386","264","226","117"
"FBgn0038602","2","0","2","0"
"FBgn0038601","18","9","17","7"
"FBgn0010877","279","115","171","69"
"FBgn0038598","16","10","7","5"
"FBgn0038596","2","1","4","4"
"FBgn0038595","10","2","10","3"
"FBgn0038593","70","31","56","13"
"FBgn0038590","18","8","18","10"
"FBgn0038588","55","22","32","13"
"FBgn0038586","37","12","14","4"
"FBgn0038584","27","7","14","4"
"FBgn0038583","18","19","15","4"
"FBgn0011481","391","189","268","119"
"FBgn0038579","1","1","1","0"
"FBgn0038577","20","7","9","4"
"FBgn0038569","84","35","56","14"
"FBgn0038612","0","0","0","0"
"FBgn0038619","14","6","11","3"
"FBgn0038626","0","0","1","0"
"FBgn0038627","10","9","10","1"
"FBgn0038630","2","0","0","0"
"FBgn0023083","371","182","214","64"
"FBgn0038629","16","1","5","2"
"FBgn0004652","668","345","517","183"
"FBgn0051122","184","77","137","52"
"FBgn0038621","17","9","23","4"
"FBgn0038617","118","51","74","37"
"FBgn0028670","493","177","236","107"
"FBgn0038613","2","2","2","1"
"FBgn0044871","23","11","13","4"
"FBgn0051231","1","0","0","0"
"FBgn0051229","13","7","4","2"
"FBgn0038638","25","17","17","10"
"FBgn0051230","0","0","1","0"
"FBgn0038640","32","15","9","10"
"FBgn0038641","87","27","51","9"
"FBgn0051226","0","0","0","0"
"FBgn0038653","543","231","390","125"
"FBgn0038652","127","53","50","47"
"FBgn0038649","32","8","18","4"
"FBgn0024329","344","145","205","99"
"FBgn0038646","4","4","1","2"
"FBgn0038645","8","2","4","2"
"FBgn0038642","4","16","3","2"
"FBgn0038632","7","4","6","3"
"FBgn0051228","0","2","0","0"
"FBgn0038631","27","2","9","1"
"FBgn0038654","15","16","5","5"
"FBgn0038655","0","1","1","2"
"FBgn0003248","337","20","212","11"
"FBgn0038659","739","297","459","177"
"FBgn0022338","16","5","6","5"
"FBgn0038673","11","5","4","0"
"FBgn0038674","4","3","3","1"
"FBgn0027785","134","29","74","27"
"FBgn0015781","40","8","29","3"
"FBgn0038675","33","13","17","8"
"FBgn0038676","6","2","9","7"
"FBgn0004876","604","186","397","117"
"FBgn0027784","21","11","14","5"
"FBgn0038672","33","9","36","6"
"FBgn0038666","43","14","42","10"
"FBgn0038665","53","7","34","6"
"FBgn0038662","188","45","119","29"
"FBgn0038660","15","4","12","1"
"FBgn0038658","0","0","0","0"
"FBgn0038656","0","0","1","0"
"FBgn0016120","388","146","225","61"
"FBgn0038679","367","144","209","75"
"FBgn0038680","26","23","8","13"
"FBgn0038681","141","73","107","41"
"FBgn0002962","0","0","0","0"
"FBgn0010768","66","19","17","13"
"FBgn0038685","0","0","0","0"
"FBgn0051475","49","13","29","8"
"FBgn0025680","185","145","137","54"
"FBgn0038692","20","11","14","7"
"FBgn0038695","16","0","13","0"
"FBgn0000463","49","39","37","19"
"FBgn0038694","0","0","0","0"
"FBgn0038693","2367","1284","1760","707"
"FBgn0038691","0","0","0","0"
"FBgn0038690","0","0","0","0"
"FBgn0038686","62","27","61","19"
"FBgn0038678","26","10","13","4"
"FBgn0038700","2","2","3","1"
"FBgn0038701","0","4","4","0"
"FBgn0038702","5","1","4","1"
"FBgn0038704","79","45","61","24"
"FBgn0038705","4","0","4","0"
"FBgn0038709","1","1","2","0"
"FBgn0038708","3","1","2","1"
"FBgn0038706","57","10","18","5"
"FBgn0051244","5","3","3","0"
"FBgn0051245","1","0","3","0"
"FBgn0051404","2","1","1","1"
"FBgn0038697","1","0","1","0"
"FBgn0038715","0","2","0","0"
"FBgn0038716","13","4","11","7"
"FBgn0038718","2","0","3","0"
"FBgn0038719","0","1","2","0"
"FBgn0038722","38","12","20","14"
"FBgn0051220","4","1","1","0"
"FBgn0051219","2","0","2","0"
"FBgn0003011","77","17","37","3"
"FBgn0038727","0","1","1","0"
"FBgn0051216","33","10","23","6"
"FBgn0038732","8","17","13","10"
"FBgn0038733","67","45","46","24"
"FBgn0038734","0","0","4","3"
"FBgn0012004","0","0","0","0"
"FBgn0051215","0","0","0","0"
"FBgn0051471","0","1","0","0"
"FBgn0038731","1","2","1","1"
"FBgn0038730","1","0","0","0"
"FBgn0012003","0","0","1","0"
"FBgn0038725","179","96","147","57"
"FBgn0038723","56","20","29","13"
"FBgn0038721","243","116","90","77"
"FBgn0038720","82","35","44","37"
"FBgn0051459","0","0","0","0"
"FBgn0038735","169","82","128","51"
"FBgn0038737","11","3","8","0"
"FBgn0038739","18","12","9","4"
"FBgn0038742","109","28","89","19"
"FBgn0014006","222","103","125","60"
"FBgn0038744","164","69","84","29"
"FBgn0038747","182","82","97","53"
"FBgn0038751","2","0","0","0"
"FBgn0038756","10","1","6","1"
"FBgn0051213","73","25","46","14"
"FBgn0038760","29","26","18","7"
"FBgn0038766","3","1","3","3"
"FBgn0038768","36","15","21","6"
"FBgn0038772","12","3","5","0"
"FBgn0038771","148","43","94","28"
"FBgn0040571","72","28","69","12"
"FBgn0038769","20","13","15","0"
"FBgn0038767","9","6","12","4"
"FBgn0038765","12","1","6","3"
"FBgn0038763","64","38","49","23"
"FBgn0038761","6","3","4","1"
"FBgn0038755","169","67","108","42"
"FBgn0021776","20","3","12","9"
"FBgn0038753","13","4","14","1"
"FBgn0038752","16","10","16","5"
"FBgn0038750","2","0","0","0"
"FBgn0038749","0","0","0","0"
"FBgn0038746","28","6","12","5"
"FBgn0038745","461","182","440","98"
"FBgn0002940","57570","17783","38384","10353"
"FBgn0038741","8","2","9","2"
"FBgn0038740","139","73","72","42"
"FBgn0038738","136","50","66","40"
"FBgn0038773","0","0","0","0"
"FBgn0045471","0","0","0","0"
"FBgn0038774","58","12","27","5"
"FBgn0038775","15","2","4","3"
"FBgn0051206","0","0","0","0"
"FBgn0003249","1145","588","643","363"
"FBgn0038788","43","16","29","12"
"FBgn0038789","1","0","1","0"
"FBgn0038790","0","0","0","0"
"FBgn0038796","8","3","16","0"
"FBgn0038798","1","0","1","0"
"FBgn0038799","52","41","32","27"
"FBgn0002869","0","0","0","0"
"FBgn0038797","0","0","0","0"
"FBgn0038795","154","30","73","19"
"FBgn0038787","139","72","100","32"
"FBgn0038784","0","0","0","0"
"FBgn0038783","2","0","0","0"
"FBgn0053192","5","1","3","4"
"FBgn0043457","27","19","20","5"
"FBgn0038803","446","139","134","70"
"FBgn0038806","29","13","20","5"
"FBgn0038808","21","10","10","7"
"FBgn0038810","84","34","46","13"
"FBgn0023097","370","171","193","90"
"FBgn0038815","104","63","67","20"
"FBgn0001169","216","96","151","55"
"FBgn0038816","375","156","212","95"
"FBgn0038819","56","20","29","9"
"FBgn0051205","10","12","8","5"
"FBgn0004107","15","5","8","2"
"FBgn0051200","113","45","29","33"
"FBgn0051199","103","67","59","47"
"FBgn0038821","1","0","1","2"
"FBgn0024944","272","113","172","57"
"FBgn0038820","28","28","19","15"
"FBgn0038818","370","95","137","60"
"FBgn0028422","13","1","3","3"
"FBgn0051201","18","2","3","2"
"FBgn0015279","273","114","177","67"
"FBgn0038814","11","13","22","4"
"FBgn0051506","1","0","0","2"
"FBgn0038811","10","17","11","5"
"FBgn0014029","61","32","50","19"
"FBgn0038809","434","152","312","107"
"FBgn0023212","204","78","114","42"
"FBgn0038805","70","24","44","12"
"FBgn0038804","13","9","7","5"
"FBgn0040575","9","2","6","1"
"FBgn0038826","2095","782","1122","434"
"FBgn0019936","1770","395","1329","252"
"FBgn0051223","21","2","9","1"
"FBgn0053094","617","190","357","96"
"FBgn0038832","16","15","12","5"
"FBgn0038833","0","0","0","0"
"FBgn0038834","1388","389","1115","307"
"FBgn0028396","117","54","99","111"
"FBgn0044812","53","31","21","97"
"FBgn0038838","1","0","0","0"
"FBgn0044809","0","0","0","0"
"FBgn0051480","0","0","0","0"
"FBgn0051334","0","0","0","0"
"FBgn0051333","0","0","0","0"
"FBgn0038840","35","21","22","11"
"FBgn0038842","88","39","59","24"
"FBgn0051191","115","35","66","9"
"FBgn0044810","10","3","2","9"
"FBgn0038839","258","99","131","55"
"FBgn0038837","141","64","88","50"
"FBgn0027493","377","106","256","92"
"FBgn0038830","13","9","4","1"
"FBgn0038829","123","74","63","33"
"FBgn0038828","38","16","25","6"
"FBgn0038827","14","5","15","4"
"FBgn0046689","1","0","1","0"
"FBgn0051195","202","79","120","63"
"FBgn0013995","1268","459","797","261"
"FBgn0038846","2","1","3","2"
"FBgn0026056","125","77","78","43"
"FBgn0038847","4","0","0","0"
"FBgn0038851","4","3","1","0"
"FBgn0038855","36","15","22","3"
"FBgn0028468","8","8","2","9"
"FBgn0015790","277","118","168","76"
"FBgn0010770","14","6","8","2"
"FBgn0038858","67","21","80","21"
"FBgn0038860","25","10","11","5"
"FBgn0038862","314","132","165","91"
"FBgn0038866","59","13","26","6"
"FBgn0038865","133","37","103","23"
"FBgn0038861","19","4","16","7"
"FBgn0038859","0","0","0","0"
"FBgn0038857","27","5","14","2"
"FBgn0038854","86","41","51","24"
"FBgn0038853","516","238","327","142"
"FBgn0038852","6","0","7","4"
"FBgn0003257","26","11","10","8"
"FBgn0025865","132","92","69","55"
"FBgn0038850","5","3","10","2"
"FBgn0038849","9","5","6","5"
"FBgn0051207","25","11","17","9"
"FBgn0051189","5","5","2","1"
"FBgn0013812","236","331","351","173"
"FBgn0046763","73","21","59","25"
"FBgn0038845","27","9","11","4"
"FBgn0038868","29","21","21","14"
"FBgn0038870","54","24","23","13"
"FBgn0038873","22","7","15","1"
"FBgn0038874","36","13","29","6"
"FBgn0038876","35","18","22","3"
"FBgn0038879","1","0","0","0"
"FBgn0001234","24568","9664","18181","4901"
"FBgn0002781","789","338","528","178"
"FBgn0004110","1","1","1","0"
"FBgn0004862","1","2","1","0"
"FBgn0038887","0","0","0","0"
"FBgn0011278","40","26","26","8"
"FBgn0008651","34","20","14","12"
"FBgn0038881","1281","757","842","401"
"FBgn0038878","63","61","55","45"
"FBgn0038877","629","315","421","188"
"FBgn0043012","42","22","39","6"
"FBgn0000527","163","44","106","43"
"FBgn0038871","21","5","15","4"
"FBgn0038869","29","12","15","1"
"FBgn0038889","57","26","33","21"
"FBgn0004863","5","4","4","1"
"FBgn0038890","167","79","145","45"
