Geneid,ORE_male_1,CHD_male_1,ORE_male_2,CHD_male_2 ,ORE_fem_1 ,CHD_fem_1 ,ORE_fem_2 ,CHD_fem_2 
FBgn0051815,80,24,87,10,54,6,22,6
FBgn0032590,143,69,107,4,113,23,54,21
FBgn0032588,8,6,11,0,5,0,1,0
FBgn0032587,1027,227,835,64,503,93,402,38
FBgn0028523,76,31,59,11,37,15,36,6
FBgn0001185,77,20,44,6,49,14,25,9
FBgn0051812,1,3,7,1,4,2,4,3
FBgn0032597,45,35,34,8,17,10,20,6
FBgn0032598,4,3,4,0,2,2,3,3
FBgn0032600,925,553,727,107,573,244,406,139
FBgn0032601,56,26,43,6,34,5,11,13
FBgn0032603,137,88,103,22,77,32,64,32
FBgn0040262,1,2,0,0,2,1,0,2
FBgn0040261,1,0,0,0,1,0,0,0
FBgn0040260,136,81,103,28,87,35,47,24
FBgn0004797,78,96,75,16,102,35,66,19
FBgn0051739,276,164,202,33,150,64,109,62
FBgn0051781,149,100,118,34,165,64,51,33
FBgn0032615,0,1,0,0,0,1,0,0
FBgn0051809,7,11,5,1,7,8,2,2
FBgn0051810,0,1,3,0,4,1,0,0
FBgn0032614,92,43,60,10,126,38,70,22
FBgn0032613,34,44,38,12,35,10,43,13
FBgn0032612,4,2,4,0,5,0,4,1
FBgn0022213,122,83,111,24,69,35,49,21
FBgn0032609,24,8,7,2,11,5,5,0
FBgn0032602,4,0,4,0,0,1,1,0
FBgn0015391,52,23,64,11,44,21,23,19
FBgn0032596,67,32,38,8,53,19,37,8
FBgn0032595,0,0,0,0,0,0,0,0
FBgn0027779,878,497,748,121,522,234,312,155
FBgn0062978,507,218,489,42,307,68,179,34
FBgn0051807,8,1,4,1,3,3,3,1
FBgn0032593,23,5,23,1,8,3,2,1
FBgn0032618,0,0,0,0,0,0,0,0
FBgn0053179,279,151,201,33,110,46,90,30
FBgn0051806,9,7,6,0,9,4,3,0
FBgn0032625,0,0,0,0,0,0,0,0
FBgn0032624,0,0,0,0,0,0,0,0
FBgn0026150,48,45,59,8,36,29,35,6
FBgn0032620,26,21,26,1,8,3,7,2
FBgn0051805,21,19,34,2,21,7,14,5
FBgn0040985,201,94,223,22,244,48,150,29
FBgn0052832,0,0,2,0,0,0,0,0
FBgn0045487,1,0,0,0,0,0,0,0
FBgn0045486,1,1,1,0,1,0,0,0
FBgn0045485,0,0,4,0,1,0,0,0
FBgn0046888,0,0,1,1,1,0,0,0
FBgn0051804,0,1,2,0,1,0,1,0
FBgn0032633,519,316,435,71,332,138,260,69
FBgn0032632,0,0,0,0,0,0,0,0
FBgn0032629,162,90,132,18,93,47,56,17
FBgn0051784,0,0,1,0,0,0,0,0
FBgn0020503,1571,1042,1254,213,1082,500,662,288
FBgn0032635,60,38,44,9,26,13,19,4
FBgn0032636,0,0,1,0,2,0,0,1
FBgn0032637,13,3,8,1,15,3,4,5
FBgn0032640,164,76,103,25,87,39,59,25
FBgn0032642,32,16,20,3,27,6,17,5
FBgn0032644,7,10,9,1,7,3,5,0
FBgn0013810,36,36,30,3,19,9,20,6
FBgn0032651,51,34,43,4,23,11,14,5
FBgn0032654,1,0,0,0,0,0,0,0
FBgn0032652,150,133,127,34,157,56,104,35
FBgn0032650,0,5,2,1,1,0,0,1
FBgn0032649,1,1,1,0,0,1,1,0
FBgn0032648,4,3,4,0,4,5,7,2
FBgn0032647,4,2,7,0,6,3,4,3
FBgn0032646,152,82,105,30,85,43,64,23
FBgn0032645,0,0,0,0,0,0,0,0
FBgn0003187,8,1,14,1,16,0,7,0
FBgn0032643,138,70,96,16,78,44,40,14
FBgn0024689,98,67,58,19,50,18,32,23
FBgn0000183,691,369,603,94,468,171,329,92
FBgn0032639,1,0,3,0,3,2,4,2
FBgn0032638,56,46,36,1,5,10,5,56
FBgn0011274,947,495,782,111,598,225,359,102
FBgn0051803,7,3,3,1,5,1,3,1
FBgn0032634,12,13,25,1,7,1,8,2
FBgn0032656,238,143,192,40,142,77,93,35
FBgn0032658,0,3,0,1,0,4,0,1
FBgn0051742,1,0,0,0,0,0,0,1
FBgn0040989,0,0,0,0,0,0,1,0
FBgn0051740,0,0,0,0,0,0,0,0
FBgn0000120,22468,11672,17811,3911,11945,4823,6495,3443
FBgn0002939,6,28,11,1,8,17,1,13
FBgn0051741,1,0,2,0,0,1,1,0
FBgn0032664,0,1,1,0,0,0,0,0
FBgn0032665,0,0,0,0,0,0,0,0
FBgn0041184,667,203,548,66,359,118,177,84
FBgn0051785,54,26,43,3,19,10,8,7
FBgn0032663,1,1,0,0,0,0,0,1
FBgn0032660,1,0,0,0,1,0,0,0
FBgn0023096,108,71,94,18,69,38,54,26
FBgn0032669,4,2,6,1,9,0,3,0
FBgn0032670,19,17,8,4,12,5,8,4
FBgn0032677,0,0,0,0,0,0,0,0
FBgn0000636,391,182,380,34,242,91,135,58
FBgn0011559,44,13,19,4,22,4,12,1
FBgn0051787,0,0,0,0,0,0,0,0
FBgn0051788,9,14,9,0,4,1,4,0
FBgn0051802,16,6,9,1,5,1,5,3
FBgn0032671,33,21,35,11,27,17,15,12
FBgn0032680,0,0,1,0,0,0,0,0
FBgn0032682,43,15,32,6,45,12,18,4
FBgn0032684,91,42,80,14,52,20,31,20
FBgn0032685,291,123,205,37,254,88,102,44
FBgn0032688,159,84,139,28,85,35,54,22
FBgn0051789,0,0,0,0,0,0,0,0
FBgn0032690,87,60,72,20,52,27,25,11
FBgn0032694,297,110,246,27,178,42,84,21
FBgn0032693,70,20,52,5,48,10,20,8
FBgn0032692,3,4,2,0,2,1,0,2
FBgn0032691,24,21,23,11,21,8,17,3
FBgn0032689,425,239,315,54,219,103,135,64
FBgn0003270,1,0,1,0,0,0,0,0
FBgn0032683,166,117,159,32,100,47,54,28
FBgn0032681,290,90,241,34,209,60,101,30
FBgn0032698,3,1,9,2,3,2,1,1
FBgn0032700,97,43,72,9,41,17,27,10
FBgn0032701,47,15,42,6,53,9,18,7
FBgn0032703,26,6,17,3,16,1,13,1
FBgn0032705,25,13,20,4,7,3,7,2
FBgn0032709,0,0,0,0,0,0,0,0
FBgn0040993,0,0,0,0,0,0,0,0
FBgn0027074,16,8,18,2,4,5,2,0
FBgn0032713,64,53,43,4,34,24,25,28
FBgn0027070,92,75,93,23,64,40,49,29
FBgn0015808,234,130,196,31,129,56,107,44
FBgn0032719,242,155,238,36,143,49,83,33
FBgn0003896,201,105,153,26,114,49,52,20
FBgn0053120,139,84,128,16,190,57,114,43
FBgn0051752,1,2,1,1,2,0,2,0
FBgn0032717,603,381,503,66,387,180,444,83
FBgn0032715,89,63,69,18,85,33,75,25
FBgn0040992,0,0,0,0,0,0,0,0
FBgn0045852,76,46,52,11,48,20,28,9
FBgn0032707,61,32,54,6,30,8,25,2
FBgn0032706,61,49,42,7,22,11,14,5
FBgn0025608,434,209,316,52,259,84,162,64
FBgn0032704,170,90,131,18,130,40,53,24
FBgn0032702,136,82,124,22,100,28,60,12
FBgn0005617,244,166,226,26,159,82,117,48
FBgn0015553,42,36,45,6,23,11,16,8
FBgn0032724,101,61,73,12,71,24,41,14
FBgn0032728,56,50,44,11,35,15,23,9
FBgn0032730,15,10,30,1,17,6,6,3
FBgn0032732,13,15,14,1,14,5,12,3
FBgn0032734,3,4,1,1,1,0,2,0
FBgn0051792,1,1,3,0,2,1,2,0
FBgn0051793,177,87,161,9,151,51,71,42
FBgn0028569,0,0,2,0,0,0,0,0
FBgn0032740,1,0,0,0,0,0,0,0
FBgn0032741,286,103,238,51,141,58,78,45
FBgn0002022,126,75,92,14,85,39,47,22
FBgn0032746,34,24,27,6,18,4,16,2
FBgn0032748,369,242,310,37,228,119,135,75
FBgn0032749,9,8,6,2,8,3,3,1
FBgn0032750,21,15,17,0,13,3,4,3
FBgn0032751,0,0,0,0,0,0,0,0
FBgn0032755,0,0,0,0,0,0,0,0
FBgn0000075,20,13,10,3,5,8,4,6
FBgn0002036,133,71,101,12,63,24,43,22
FBgn0010300,1473,621,1241,116,986,226,744,125
FBgn0002031,254,151,238,49,190,87,112,69
FBgn0000422,999,648,816,171,526,314,386,189
FBgn0002023,120,54,68,14,56,28,36,17
FBgn0032754,1,2,3,1,3,2,1,0
FBgn0053315,0,0,0,0,1,0,0,0
FBgn0032753,60,90,44,18,35,27,24,19
FBgn0032752,191,102,155,27,81,41,55,21
FBgn0002021,76,47,55,9,42,25,30,7
FBgn0032744,38,37,40,17,48,23,11,12
FBgn0051800,30,19,24,2,34,7,22,11
FBgn0001202,232,149,197,30,122,69,97,37
FBgn0046302,1,0,6,0,3,1,2,0
FBgn0032733,6,0,2,0,2,3,0,2
FBgn0032731,334,158,243,53,195,85,122,48
FBgn0032729,118,88,107,20,96,30,72,32
FBgn0015772,1243,718,967,168,645,343,484,187
FBgn0032727,41,29,60,5,36,19,36,7
FBgn0032726,59,172,50,30,76,80,64,131
FBgn0032725,25,17,31,2,17,7,19,3
FBgn0032723,363,211,300,61,246,95,136,54
FBgn0010309,149,80,144,22,74,33,48,13
FBgn0015380,198,107,165,22,104,46,55,18
FBgn0032769,0,0,1,0,0,0,2,0
FBgn0032770,17,20,10,4,16,10,17,4
FBgn0032771,0,0,0,0,0,0,0,1
FBgn0032772,45,12,35,2,37,7,8,5
FBgn0051798,37,21,25,10,12,4,8,3
FBgn0016675,16,9,20,5,8,1,8,2
FBgn0032780,1,9,4,2,0,1,2,1
FBgn0032779,37,42,45,12,44,23,16,14
FBgn0032781,68,28,61,20,46,17,16,14
FBgn0032782,142,67,92,16,57,33,49,24
FBgn0032783,427,233,347,75,259,128,165,60
FBgn0032775,250,222,234,55,108,75,89,43
FBgn0032774,693,714,636,201,715,418,514,248
FBgn0032773,1801,700,1552,183,1353,500,686,529
FBgn0024245,103,51,76,9,56,24,47,17
FBgn0032768,0,0,1,0,0,0,0,0
FBgn0051797,0,0,0,0,0,1,0,0
FBgn0010097,0,0,1,0,0,0,0,0
FBgn0003346,30,21,19,3,18,7,19,5
FBgn0032785,33,21,34,7,39,9,18,7
FBgn0000964,141,37,94,15,77,27,32,28
FBgn0032788,0,1,1,0,0,0,1,0
FBgn0032791,11,7,15,1,1,2,13,0
FBgn0002044,646,394,510,77,417,193,348,99
FBgn0040268,77,30,37,6,38,16,29,5
FBgn0032798,683,336,498,65,297,146,182,90
FBgn0032800,278,153,221,39,144,56,77,44
FBgn0053116,133,66,96,19,93,27,50,15
FBgn0051697,6,5,5,0,0,1,1,0
FBgn0032803,21,14,18,4,21,17,12,5
FBgn0032804,3,0,4,0,4,0,7,0
FBgn0041180,1824,1015,1433,189,755,356,467,310
FBgn0032809,4,0,2,1,2,0,0,0
FBgn0032810,122,61,100,12,85,19,38,20
FBgn0027949,0,1,0,0,1,0,0,0
FBgn0032814,114,60,75,18,52,13,35,22
FBgn0000464,215,122,162,40,150,40,108,24
FBgn0005590,25,11,20,0,9,4,8,0
FBgn0032813,18,14,19,4,17,6,16,6
FBgn0032811,13,14,10,2,6,4,6,4
FBgn0032805,25,2,18,3,12,5,5,4
FBgn0032801,40,18,27,7,33,13,17,6
FBgn0032799,32,23,40,3,33,8,20,5
FBgn0032797,4528,2869,3437,728,1879,1090,1419,641
FBgn0032796,898,434,711,101,453,182,282,117
FBgn0032793,35,9,30,3,22,12,14,5
FBgn0032790,37,20,25,3,18,14,19,4
FBgn0032787,33,22,18,7,18,17,12,11
FBgn0024230,105,51,81,13,57,41,50,17
FBgn0032816,19,13,14,3,8,1,8,1
FBgn0032819,34,15,18,7,24,3,11,2
FBgn0032822,17,6,7,3,5,5,3,4
FBgn0003931,3,1,2,0,1,0,1,0
FBgn0003923,0,0,0,0,0,0,1,0
FBgn0043021,0,2,0,0,0,0,0,0
FBgn0032833,1157,632,898,156,662,292,478,199
FBgn0032835,1699,231,1382,22,388,118,84,62
FBgn0032836,723,328,566,65,402,198,236,117
FBgn0014000,204,132,156,27,241,44,147,56
FBgn0042129,21,16,23,5,16,6,25,7
FBgn0032834,17,8,8,0,8,2,3,1
FBgn0053117,2,1,3,2,3,0,2,0
FBgn0044811,12,2,4,0,0,2,2,0
FBgn0032827,29,20,19,0,19,6,7,4
FBgn0003922,1,1,3,1,0,0,2,0
FBgn0032824,3,3,5,1,4,5,0,0
FBgn0043022,0,0,1,0,0,0,0,0
FBgn0004811,73,51,78,15,49,18,34,15
FBgn0032821,953,599,734,142,563,259,370,178
FBgn0032820,194,168,171,40,355,107,339,82
FBgn0032818,34,15,37,4,36,4,23,9
FBgn0032817,1796,1062,1370,257,917,507,626,257
FBgn0032840,491,261,467,66,322,76,192,45
FBgn0019686,16,14,21,2,23,6,15,4
FBgn0045064,134,93,124,14,67,30,52,16
FBgn0004374,15,3,18,0,5,4,7,0
FBgn0032846,42,9,28,7,23,12,13,8
FBgn0032848,4,4,3,1,2,0,4,0
FBgn0032850,13,9,20,4,11,4,10,5
FBgn0032849,30,15,25,0,24,5,14,2
FBgn0032847,22,14,17,1,19,4,13,4
FBgn0032845,78,45,58,10,38,14,25,11
FBgn0032843,40,27,22,2,15,3,13,4
FBgn0003978,31,12,18,3,26,11,10,7
FBgn0014127,36,23,28,1,17,8,16,2
FBgn0032839,0,1,0,0,1,0,0,0
FBgn0040996,1,1,0,0,1,0,0,0
FBgn0003475,1968,1019,1524,236,973,488,578,269
FBgn0015803,476,236,363,42,251,104,153,68
FBgn0032857,186,77,147,28,97,28,40,13
FBgn0032856,30,15,12,9,25,6,6,5
FBgn0026756,2,6,3,0,3,4,4,4
FBgn0011638,110,90,87,23,77,33,47,26
FBgn0032853,0,0,0,0,0,0,0,0
FBgn0032867,10,5,10,0,13,2,5,2
FBgn0032868,0,0,0,0,1,0,0,0
FBgn0051680,0,0,0,0,0,0,0,0
FBgn0032870,50,32,45,10,35,13,23,11
FBgn0042133,6,1,4,0,2,1,2,0
FBgn0032871,7,7,16,2,4,1,5,4
FBgn0032873,56,18,24,2,44,8,29,9
FBgn0032877,14,2,12,2,6,4,1,2
FBgn0032880,373,222,339,64,234,83,160,53
FBgn0032879,214,249,176,43,128,74,113,60
FBgn0032878,3,1,2,0,1,0,1,0
FBgn0014859,1898,252,1661,71,1481,202,168,68
FBgn0032876,272,146,242,52,192,72,97,40
FBgn0051678,1165,529,923,142,590,214,331,157
FBgn0016054,5,2,3,1,0,0,1,0
FBgn0032869,3,0,0,0,0,0,0,0
FBgn0051677,9,5,12,1,3,2,7,1
FBgn0032882,105,58,77,7,46,21,34,13
FBgn0011202,414,204,276,32,259,54,140,40
FBgn0000251,0,0,0,1,0,0,0,0
FBgn0032884,88,69,65,13,51,21,37,14
FBgn0032886,283,161,249,39,153,38,95,41
FBgn0032889,233,231,200,45,267,118,149,117
FBgn0051673,65,48,40,16,39,13,39,12
FBgn0051674,3,6,2,0,3,2,3,3
FBgn0051676,29,56,18,15,10,25,9,26
FBgn0032894,0,1,2,0,0,0,1,0
FBgn0032895,35,12,18,3,16,7,12,0
FBgn0032897,483,269,460,69,406,162,254,93
FBgn0032899,110,66,86,14,94,23,48,18
FBgn0051675,9,6,11,2,11,3,2,2
FBgn0032900,28,26,29,15,19,8,9,6
FBgn0032908,16,3,9,3,6,3,2,1
FBgn0032901,115,71,125,16,91,32,96,14
FBgn0028986,0,1,0,1,0,0,0,0
FBgn0032891,10,5,9,2,6,1,5,1
FBgn0067312,0,0,0,0,0,0,0,0
FBgn0053322,11,4,4,2,4,0,2,0
FBgn0032883,116,58,88,23,75,28,58,15
FBgn0032881,88,49,53,9,50,18,63,17
FBgn0010395,14,10,5,2,7,9,4,5
FBgn0032911,295,127,244,33,150,80,77,31
FBgn0032913,0,0,0,0,0,1,0,0
FBgn0032916,0,0,0,0,0,0,0,0
FBgn0040297,309,183,278,38,235,59,115,42
FBgn0032919,103,38,80,12,102,33,36,23
FBgn0032921,8,8,6,0,3,2,4,1
FBgn0032923,55,46,46,7,28,14,26,20
FBgn0032925,48,25,28,6,44,11,25,5
FBgn0010100,3317,1713,2551,397,2149,894,1181,510
FBgn0051627,12,6,7,0,3,1,5,1
FBgn0032929,1,2,0,0,0,0,0,0
FBgn0026255,46,33,37,2,34,25,18,8
FBgn0026577,982,635,790,111,595,313,345,158
FBgn0021856,78,46,56,6,35,18,35,6
FBgn0032938,594,325,532,67,368,140,201,70
FBgn0051626,2,0,1,3,0,0,1,0
FBgn0032935,255,163,228,32,119,71,117,34
FBgn0032934,125,78,123,13,57,27,58,16
FBgn0003930,8,11,6,6,7,6,10,4
FBgn0051988,1,0,0,0,0,0,1,0
FBgn0051624,0,0,0,0,1,0,1,0
FBgn0011829,24,25,25,1,14,10,12,2
FBgn0000239,329,250,296,56,329,102,169,70
FBgn0032924,136,57,104,13,87,25,55,10
FBgn0032922,9,8,4,4,10,4,9,2
FBgn0024371,71,35,45,6,56,12,22,11
FBgn0023388,1133,729,958,182,604,276,459,175
FBgn0032910,181,88,146,28,109,36,66,22
FBgn0023091,14,6,9,0,10,2,6,1
FBgn0032943,179,68,194,25,126,27,81,15
FBgn0023090,6,3,8,0,5,1,7,2
FBgn0032945,122,292,90,26,257,51,100,70
FBgn0032946,3286,2322,3258,529,2296,675,1382,394
FBgn0041245,1,0,0,0,1,0,0,0
FBgn0032940,629,411,624,90,583,220,424,121
FBgn0041336,26,16,29,0,10,5,6,7
FBgn0037501,1,1,0,0,1,0,1,0
FBgn0037502,0,0,0,0,0,0,0,0
FBgn0037503,0,1,0,0,0,0,0,0
FBgn0011999,0,0,0,0,0,0,0,0
FBgn0003885,315,191,235,43,153,82,110,61
FBgn0015570,40,25,21,4,72,28,36,10
FBgn0051146,181,70,139,25,107,37,63,13
FBgn0015568,280,136,239,35,228,67,175,46
FBgn0015571,0,0,0,0,1,0,0,0
FBgn0015572,2,4,3,0,7,2,3,1
FBgn0015831,0,0,0,0,0,0,1,1
FBgn0015574,0,0,1,0,0,1,1,0
FBgn0015575,689,601,573,122,746,240,596,132
FBgn0017456,6,8,4,2,10,0,9,0
FBgn0015576,307,396,278,97,228,149,200,84
FBgn0037506,33,21,33,6,27,17,12,6
FBgn0015577,429,271,358,47,352,154,149,95
FBgn0015569,241,73,199,23,158,38,39,18
FBgn0012001,0,0,0,0,0,0,0,0
FBgn0037504,26,16,17,3,15,15,12,3
FBgn0043853,1627,723,1392,111,918,266,654,133
FBgn0012000,0,0,0,0,0,0,0,0
FBgn0040670,3,0,6,1,0,1,1,0
FBgn0037472,99,55,72,10,42,15,21,12
FBgn0051248,27,36,38,10,23,17,22,6
FBgn0051494,2,0,0,0,1,1,0,0
FBgn0051493,0,0,1,0,0,0,0,0
FBgn0037475,74,34,46,9,26,9,29,7
FBgn0037478,49,24,30,6,26,8,12,12
FBgn0011020,24,11,24,3,18,10,10,8
FBgn0002306,258,161,237,37,148,95,93,43
FBgn0037483,7,5,6,0,5,3,4,0
FBgn0037487,11,2,12,3,5,0,2,4
FBgn0037488,0,0,0,0,0,0,0,0
FBgn0037490,5,5,1,0,5,0,4,0
FBgn0037492,15,5,10,1,12,3,6,4
FBgn0028400,1046,617,843,158,491,235,337,112
FBgn0037493,5,7,3,0,3,1,1,1
FBgn0045843,7,8,6,4,2,2,3,2
FBgn0051496,0,0,0,0,0,0,0,0
FBgn0051501,0,0,0,0,0,0,0,0
FBgn0004172,0,0,0,0,0,0,0,0
FBgn0004173,0,0,0,0,1,0,0,0
FBgn0004174,0,0,1,0,0,0,0,0
FBgn0004175,0,0,0,0,0,0,0,0
FBgn0037500,0,0,0,0,0,0,0,0
FBgn0037498,0,0,1,0,0,0,0,0
FBgn0001112,94,56,77,10,98,39,61,13
FBgn0011282,0,0,0,0,0,0,0,0
FBgn0037491,26,17,13,7,10,2,13,4
FBgn0037489,53,28,45,15,51,23,29,6
FBgn0037486,0,0,0,0,0,0,1,0
FBgn0037485,0,0,1,0,1,0,0,0
FBgn0037482,112,52,82,13,57,32,40,18
FBgn0037481,13,2,9,0,11,0,10,1
FBgn0037477,0,0,0,0,0,0,0,0
FBgn0051491,0,0,0,0,0,0,0,0
FBgn0037473,40,30,40,12,32,7,20,18
FBgn0014863,482,321,406,67,473,237,277,148
FBgn0000071,2,0,7,1,3,0,0,0
FBgn0000439,117,93,78,31,120,35,49,16
FBgn0026162,0,0,0,0,0,0,0,0
FBgn0026164,0,0,0,0,0,0,0,0
FBgn0000003,1596,961,2492,1203,1148,1105,938,488
FBgn0001077,1,0,1,2,1,1,0,0
FBgn0024289,227,539,146,42,196,126,224,155
FBgn0026563,22,63,21,6,54,16,34,13
FBgn0037463,1,0,1,0,0,0,0,0
FBgn0037464,1,1,0,0,1,0,1,0
FBgn0037466,347,218,293,62,179,115,125,74
FBgn0037468,242,110,189,40,176,46,78,37
FBgn0037469,38,19,32,10,25,11,15,3
FBgn0003884,3188,1772,2374,393,1606,687,786,420
FBgn0037470,161,80,164,12,87,33,70,15
FBgn0010774,324,173,247,39,165,69,139,46
FBgn0037467,242,120,182,33,131,40,120,34
FBgn0037465,146,63,119,16,102,33,43,14
FBgn0003339,129,63,86,21,99,31,54,26
FBgn0011904,0,0,0,0,0,0,0,0
FBgn0026163,0,0,0,0,0,0,0,0
FBgn0000166,0,0,0,0,0,0,0,0
FBgn0004053,0,0,0,0,0,0,0,0
FBgn0004054,0,0,0,0,0,0,0,0
FBgn0037448,260,173,209,25,165,74,81,33
FBgn0037449,3,3,6,0,4,0,0,0
FBgn0046873,21,11,14,8,12,2,7,2
FBgn0051482,0,0,0,0,0,0,0,0
FBgn0037462,0,0,0,0,0,0,0,0
FBgn0051286,2,1,1,0,1,1,0,0
FBgn0010355,723,486,563,92,450,238,305,141
FBgn0004777,8,2,5,0,4,1,1,0
FBgn0004780,0,0,0,0,0,0,0,0
FBgn0004783,0,0,0,0,0,1,0,0
FBgn0004782,0,0,0,0,0,0,0,0
FBgn0004781,0,0,0,0,0,0,0,0
FBgn0004779,0,0,0,0,1,0,1,0
FBgn0004778,0,0,0,0,0,0,0,0
FBgn0024912,11,9,4,1,13,3,5,1
FBgn0026566,53,29,42,15,46,17,24,10
FBgn0026565,6,1,2,2,24,3,21,3
FBgn0037461,0,0,0,0,0,0,0,0
FBgn0037460,0,0,0,0,0,0,0,0
FBgn0037456,0,0,0,0,0,0,0,0
FBgn0053202,429,276,395,54,266,120,146,57
FBgn0037454,66,32,53,5,47,16,20,8
FBgn0011919,1,0,0,0,0,0,0,0
FBgn0037429,0,0,4,0,0,0,1,0
FBgn0037430,2,0,1,0,1,0,0,0
FBgn0037431,7,2,18,0,5,0,5,0
FBgn0037432,7,2,12,0,9,0,4,0
FBgn0037433,99,49,55,13,63,23,45,13
FBgn0037435,26,4,12,2,8,3,7,0
FBgn0037436,2,0,2,1,1,0,1,0
FBgn0037439,43,20,33,3,57,12,36,10
FBgn0010282,68,43,59,5,43,15,20,10
FBgn0037442,541,302,432,64,342,149,179,79
FBgn0037446,95,44,79,10,57,23,22,5
FBgn0037447,93,72,67,18,74,41,44,20
FBgn0037445,846,434,659,110,531,216,354,135
FBgn0037443,912,473,755,115,647,244,393,134
FBgn0037440,90,93,77,41,66,35,51,22
FBgn0037512,2,0,0,0,0,0,0,0
FBgn0037514,0,0,0,0,0,0,0,0
FBgn0037515,138,67,103,22,56,38,55,35
FBgn0037517,1,1,0,0,0,0,0,0
FBgn0037518,22,7,20,1,16,4,14,3
FBgn0051472,60,40,56,8,39,11,21,13
FBgn0051473,6,3,6,0,1,2,2,3
FBgn0037526,52,41,41,7,46,16,23,13
FBgn0024909,31,14,23,4,36,3,42,5
FBgn0014931,3,2,5,0,8,4,4,1
FBgn0002542,20,22,18,9,14,1,10,3
FBgn0000504,329,280,277,83,159,147,124,88
FBgn0037531,17,8,11,2,6,2,1,0
FBgn0014930,96,70,79,20,54,33,39,11
FBgn0004901,27,24,27,6,31,8,24,8
FBgn0037530,577,272,468,66,336,132,259,90
FBgn0037529,179,109,158,24,101,58,91,33
FBgn0037521,1192,555,1005,131,688,271,471,138
FBgn0037520,5,5,7,2,5,0,5,1
FBgn0037519,11,3,7,1,8,5,5,6
FBgn0042101,1,0,1,0,2,0,0,0
FBgn0042103,0,0,0,0,1,0,0,0
FBgn0042105,0,0,0,0,0,0,0,0
FBgn0042102,0,1,0,0,0,0,0,0
FBgn0042104,3,0,0,0,0,0,1,0
FBgn0037516,1,0,1,0,1,0,2,0
FBgn0037513,92,42,68,15,124,29,71,31
FBgn0010401,7,5,1,13,9,5,21,10
FBgn0037535,9,6,8,2,8,1,10,0
FBgn0037536,695,375,618,72,327,136,224,81
FBgn0037538,54,20,31,6,22,8,23,8
FBgn0037540,33,19,22,8,10,4,2,8
FBgn0037543,11,6,6,1,2,2,6,5
FBgn0037546,246,109,166,19,107,43,70,18
FBgn0037547,1,0,1,0,2,1,0,1
FBgn0037548,15,16,24,4,14,19,5,15
FBgn0037551,159,95,159,16,106,54,66,32
FBgn0037552,34,14,28,9,32,9,12,7
FBgn0037553,42,40,33,12,31,28,32,17
FBgn0037554,123,62,101,17,61,23,46,24
FBgn0040528,5,5,20,1,11,3,5,1
FBgn0037556,355,198,309,43,200,74,160,36
FBgn0001138,131,54,113,8,70,32,37,17
FBgn0011959,0,0,0,0,0,0,0,0
FBgn0011960,0,0,0,0,0,0,0,0
FBgn0011961,0,0,0,0,0,0,0,0
FBgn0011962,0,0,0,0,0,0,0,0
FBgn0011963,0,0,0,0,0,0,0,0
FBgn0051583,0,0,0,0,0,0,0,0
FBgn0037544,26,12,11,6,11,18,8,3
FBgn0037541,2159,1106,1686,274,1092,571,625,305
FBgn0001255,22,15,9,2,19,6,8,4
FBgn0037539,77,70,76,14,63,29,36,15
FBgn0040524,20,4,11,0,7,0,2,1
FBgn0037537,239,178,226,59,186,92,129,59
FBgn0037534,267,107,219,26,154,43,57,20
FBgn0037533,827,494,637,130,559,251,352,165
FBgn0014861,9,2,5,2,4,2,0,3
FBgn0010433,2,1,1,0,0,0,0,0
FBgn0037562,0,0,0,0,2,1,2,0
FBgn0051464,0,0,0,0,0,0,0,0
FBgn0051463,2,0,0,0,1,0,0,0
FBgn0037566,59,32,52,9,48,8,22,8
FBgn0037572,0,0,0,0,0,0,0,0
FBgn0037573,91,61,71,21,68,17,32,15
FBgn0062412,11,4,6,3,13,5,1,5
FBgn0037576,1,0,1,0,0,0,1,0
FBgn0037577,0,0,2,0,0,0,0,0
FBgn0004908,19,8,18,3,11,6,9,0
FBgn0037579,0,1,2,0,0,2,1,0
FBgn0037580,247,112,184,18,148,57,80,41
FBgn0037581,11,3,9,2,8,2,3,0
FBgn0020249,197,101,187,32,144,51,115,43
FBgn0037584,5,5,2,1,2,2,1,3
FBgn0037589,36,27,18,2,19,6,6,5
FBgn0037583,33,24,32,7,19,8,15,6
FBgn0037578,50,19,18,2,14,10,15,2
FBgn0040529,317,201,317,60,261,96,185,66
FBgn0003129,4,3,1,0,3,0,2,2
FBgn0037574,54,30,39,8,38,17,17,8
FBgn0037571,0,0,0,0,0,0,0,0
FBgn0037570,1,0,3,0,2,0,0,1
FBgn0037569,10,2,16,2,7,2,8,3
FBgn0037565,62,29,36,6,48,12,21,6
FBgn0037563,0,0,0,0,0,0,0,0
FBgn0037561,28,19,24,3,25,4,13,6
FBgn0010173,98,90,86,24,64,37,38,18
FBgn0037592,127,94,123,21,106,38,73,18
FBgn0051454,6,5,1,1,2,1,3,1
FBgn0051259,2,2,3,2,0,6,2,1
FBgn0037594,1,1,0,0,0,0,1,0
FBgn0051460,0,0,0,0,0,0,0,0
FBgn0037602,7,4,6,2,5,2,3,1
FBgn0037603,27,10,34,2,30,5,22,8
FBgn0037606,178,98,136,23,115,44,50,28
FBgn0037607,1132,802,781,158,1175,480,934,413
FBgn0012024,0,0,0,0,0,0,0,0
FBgn0012025,0,0,0,0,0,0,0,0
