"id","chr","Chd1_Ctrl1","Chd1_Auxin1","Chd1_Ctrl2","Chd1_Auxin2"
"FBgn0000003","chr3R",252.699645567957,171.192507560275,314.584446003153,178.080427275501
"FBgn0000008","chr2R",10.5376487875103,10.896507910158,9.16843738824214,9.3836397996704
"FBgn0000014","chr3R",0.0233332524073184,0.0797888067392817,0.105627061587253,0.0749669329454634
"FBgn0000015","chr3R",0.587756218827339,0.68388899457992,0.521427263824272,0.672976578589884
"FBgn0000017","chr3L",21.5460265274947,27.6005447250555,21.003995303441,26.9538238240707
"FBgn0000018","chr2L",91.1065338678088,112.076231532569,96.2190019509492,123.34716730315
"FBgn0000022","chrX",1.16335113257886,1.98905829900818,1.22881787914225,2.42950970300497
"FBgn0000024","chr3R",3.30283210933981,1.93827383179947,2.99031137653294,1.92881475821686
"FBgn0000028","chrX",0.813316635688781,0.745857184469026,0.836771535592344,0.742354689423095
"FBgn0000032","chr3R",17.4706226400248,27.4863816253592,21.9884759569748,26.5049113254164
"FBgn0000036","chr3R",0.294786972308991,0.469455614846926,0.249100717379115,0.462733366942431
"FBgn0000037","chr2R",1.05064650467984,1.37460572159166,0.896088287822477,1.18879855125671
"FBgn0000038","chr3L",0.0801948854185906,0.10969159553832,0.0968089083421606,0.103062607694742
"FBgn0000039","chr3R",0.0310552438492228,0.254866571343451,0.112466932510109,0.14966514371478
"FBgn0000042","chrX",701.809558491777,685.911457336147,624.949865136926,660.001675011321
"FBgn0000043","chr2R",703.131865889605,889.993458259534,643.921488078745,889.133108690345
"FBgn0000044","chr2R",1.47389991347473,2.34362238417578,1.73476743388571,1.91786255903986
"FBgn0000045","chr3L",11.481531447189,2.48451463894295,6.25331765163501,1.5562453761906
"FBgn0000046","chr3R",5.04896985410199,4.79868630096841,4.63844990643256,5.08121922577281
"FBgn0000047","chr3R",1.44786635522042,4.62095717871032,0.946736756264617,3.25627429257272
"FBgn0000052","chr2L",15.4296343067729,16.614458131851,16.1493125516214,15.7158728994232
"FBgn0000053","chr2L",34.4295074235603,29.151638430264,30.84231618647,27.9436231752865
"FBgn0000057","chr2R",20.8060115969196,25.5200569874446,21.7721015981617,21.1440638760021
"FBgn0000061","chr2L",0.304672352651365,0.273482187482373,0.137921815594578,0.312016602710027
"FBgn0000063","chr3R",26.8803721607446,28.145524980334,24.7142125636438,24.7708982444104
"FBgn0000064","chr3R",30.6475952627851,34.467878794092,31.1893926704977,36.4130797938773
"FBgn0000071","chr3R",12.8477336348295,12.7019414074894,15.8509347627116,12.9609341300431
"FBgn0000075","chr2L",0.942796696422602,0.875064980686007,0.487764196429713,0.605818473036785
"FBgn0000077","chrX",33.9961601435946,38.4653920174137,38.1347389914728,45.6578956603702
"FBgn0000078","chr2R",1.21723011545842,0.567594206196728,1.30242664039394,0.853268492864627
"FBgn0000079","chr2R",1.06541655413141,1.53015498659154,1.73628838729089,0.82153325197824
"FBgn0000083","chr3R",115.055208388392,126.825805406506,102.525324288434,115.662810420367
"FBgn0000084","chrX",132.366755351693,110.956574498951,119.375631038048,114.758993255389
"FBgn0000092","chrX",9.84984066959891,14.8410637589082,9.33585180474353,16.6143353853277
"FBgn0000094","chr3R",28.6459579957589,44.0800984328588,20.7483350653328,37.8662469414118
"FBgn0000097","chr2L",57.8910757236429,50.51957995815,54.3339454688538,44.7069394643779
"FBgn0000100","chr3L",214.880050348434,288.254819817772,219.263153848599,288.798794718629
"FBgn0000108","chrX",0.131713693522308,0.390345981494172,0.17225097400921,0.271540661605883
"FBgn0000109","chr3L",25.3928630926458,22.3281544349448,26.0116994752885,28.531165230161
"FBgn0000114","chr2L",0.0282250651618932,0.0460647016384721,0.0302005975097487,0.0432808753509528
"FBgn0000115","chr3L",37.6342985241755,43.6561822458109,43.2468353134381,40.8783932148516
"FBgn0000116","chr3L",2.69816155446543,4.27867823127715,2.55474252065604,4.28811204201422
"FBgn0000117","chrX",27.0873947862547,34.3702389280559,27.3072327644604,34.0522311681553
"FBgn0000119","chr2R",9.54381202210928,9.34726315884718,8.58641261533001,10.4138897727445
"FBgn0000120","chr2L",0.175383416300565,0.359837538227419,0.31757655712244,0.338091490548319
"FBgn0000121","chr3L",0.424131198981983,0.870198162097432,0.671998314802568,1.43081664437822
"FBgn0000137","chrX",0.438711254607753,0.375046809775936,0.463399414283368,0.704763241584873
"FBgn0000139","chr3R",30.5932839622501,33.7382465683999,32.9414123161227,36.0171953566843
"FBgn0000140","chr3R",17.9097418057518,20.5327885477268,14.3571068532436,16.671722299857
"FBgn0000146","chr2L",29.9650663705158,48.775386285255,44.7178534047543,63.5690276990296
"FBgn0000147","chr3R",35.8966505366361,38.3236139763311,33.8227118911667,30.5762898823817
"FBgn0000150","chr3R",448.820438458634,509.34837865033,390.538689138575,494.456127590988
"FBgn0000152","chrX",12.1794243901043,11.3454714726297,10.815737459175,13.7633261593735
"FBgn0000153","chr2L",5.65786515668706,6.00431952289399,5.94681774895248,6.58170417246481
"FBgn0000157","chr2R",3.44218736328985,3.89830617051383,3.98045535746057,4.0815511977136
"FBgn0000158","chr3R",0.514796926300595,0.528109391852608,0.621447716932672,0.413495148263202
