"id","chr","S2_Auxin1_hst","S2_Auxin2_hst","S2_Ctrl1_hst","S2_Ctrl2_hst"
"FBgn0000008","chr2R",6.50961873278113,5.18801229643365,7.09066301754731,6.47647260985183
"FBgn0000015","chr3R",0.336100149527144,0.125235059162985,0.128372807122743,0.442212089980479
"FBgn0000017","chr3L",26.4012462283736,29.9400037992947,26.7184806236996,33.3743055495612
"FBgn0000018","chr2L",130.876308171331,158.489909078497,153.088111419905,143.496628030855
"FBgn0000024","chr3R",0.413842726366301,0.462608705115754,0.158066435155455,0.725998911166332
"FBgn0000032","chr3R",34.3293611924611,42.2831566668821,35.693869320918,26.3478038896529
"FBgn0000037","chr2R",0.926695885527517,0.966835271562795,1.9821184046277,0.568991687793812
"FBgn0000042","chrX",965.138612543611,1282.2869038066,1046.94638038986,1193.38094796925
"FBgn0000043","chr2R",817.812713245381,846.262924172219,844.723378107102,858.035627137839
"FBgn0000045","chr3L",3.27544872993726,8.54330803599125,5.83823966453976,16.7593915313814
"FBgn0000046","chr3R",9.03760937190047,16.5008708721905,26.5796111817885,8.32364428899711
"FBgn0000052","chr2L",29.3034599868694,27.7933865865889,36.799255556526,31.3502850827319
"FBgn0000053","chr2L",18.1800647565682,12.7666037066133,10.593808469456,22.182025923368
"FBgn0000057","chr2R",22.9392631765555,28.7194395776955,22.0792510233656,28.1694356809296
"FBgn0000063","chr3R",38.8903494098143,46.3082711688849,40.6873018467339,25.95509990781
"FBgn0000064","chr3R",17.5311839759737,28.4852652941585,26.1253851513438,16.7638476312302
"FBgn0000071","chr3R",17.0156369553712,25.3609443946967,21.6636329381348,9.9501035178816
"FBgn0000077","chrX",51.7248905698748,31.7443113511849,56.94440658024,23.3522837664568
"FBgn0000083","chr3R",67.0324391242974,82.4528566264271,64.1527498022101,67.8170727083805
"FBgn0000084","chrX",87.7674613763759,106.28552385037,100.56784033069,89.8154341710762
"FBgn0000097","chr2L",26.5977614872858,29.1170669030865,28.8084488880231,33.3773027929873
"FBgn0000100","chr3L",421.683695750441,490.765583845275,517.332903607829,462.931637189046
"FBgn0000109","chr3L",33.5572933606317,27.6401142340893,23.610528055124,48.7994047531399
"FBgn0000115","chr3L",66.9504923772017,73.5267586471618,65.9478416874662,70.3156867184607
"FBgn0000116","chr3L",0.752103500553842,0,1.34056761403093,1.92413285585847
"FBgn0000117","chrX",32.2691044156502,31.7151251265786,30.0089939274126,25.8433624306515
"FBgn0000119","chr2R",17.0231675855809,11.6243732984896,17.1897475269426,15.4764816047675
"FBgn0000139","chr3R",37.9029164011811,32.953885810929,48.0025057622724,63.284617176019
"FBgn0000140","chr3R",34.0619143134232,36.3834156754849,30.3563932137309,33.8608114613624
"FBgn0000146","chr2L",22.4632907155665,20.0441845635233,25.2878633542001,21.777585058005
"FBgn0000147","chr3R",36.8343646833133,69.5712393530192,40.7510500674103,31.1949191371423
"FBgn0000150","chr3R",1039.09539266849,1133.94713953952,1015.4666360168,1078.00850809367
"FBgn0000152","chrX",13.0639284604434,8.8889910201065,15.1861725378202,22.6687723603656
"FBgn0000157","chr2R",0.207416278412914,0.811501554869881,0.831833619749728,1.5919210953291
"FBgn0000163","chrX",6.37040271624751,5.12321551591047,6.10318409015907,6.19309768096427
"FBgn0000173","chrX",37.4877947125767,44.0005055495272,51.7848483539668,44.1169185167114
"FBgn0000180","chr2L",1.78611635507457,3.62343552063523,3.71422022172593,0.60926457784146
"FBgn0000181","chr2R",387.584166218207,499.990881951022,471.367000488472,515.473323994332
"FBgn0000183","chr2L",30.6558897295671,35.2152520807575,42.8924014737201,29.2581295213535
"FBgn0000212","chr3L",18.4277611348781,21.6071464678155,18.9844377298477,18.1657282102875
"FBgn0000221","chrX",26.8546107050757,19.4568091916985,15.955437592531,45.8020638124708
"FBgn0000227","chr2L",110.467937293555,144.066003502592,90.2461745164485,178.988874211659
"FBgn0000228","chr2L",19.9696712889723,18.1889783992072,16.1022416554242,14.5968893982999
"FBgn0000229","chr2L",21.6251700075885,31.9626262633617,23.1271381176166,24.342750753817
"FBgn0000239","chr2L",20.4350846048803,27.6752861663996,24.1659184078477,16.8903956825992
"FBgn0000241","chr2R",3.23440607706541,2.10906426173713,3.78333653219193,2.48240847070396
"FBgn0000244","chr3R",207.891145662517,324.871235812364,261.564879502448,289.218009984668
"FBgn0000247","chr3R",45.6717498963083,41.7622124246002,52.6334743919472,53.9898222572378
"FBgn0000250","chr2L",51.5377719833117,58.6505134472955,53.9763453003573,61.4744304657275
"FBgn0000253","chr2R",17.3736644806728,13.3622601603572,20.2478127977341,15.385727530226
"FBgn0000256","chr2L",9.94537851606687,12.6902649319947,10.1387580326472,11.202511132845
"FBgn0000257","chrX",23.0114316449761,25.0085007558585,29.0530968522188,17.6612866404031
"FBgn0000259","chrX",19.5788916792804,23.665359569545,22.3431637261213,24.1894995065266
"FBgn0000261","chr3L",78.5896527286881,80.7819957557912,73.4903055194304,118.852418453206
"FBgn0000273","chr2L",34.4981015096325,22.9102725214369,29.9509739473975,32.0463409378763
"FBgn0000276","chr3R",390.09855550531,254.372179116732,347.660587542518,316.034240306049
"FBgn0000277","chr3R",194.141888313272,150.544699857516,238.489256199525,209.411037872697
"FBgn0000278","chr3R",103.156248382671,210.569500970075,143.896861441353,151.46039317572
"FBgn0000279","chr3R",57.1399866544121,49.679148050698,50.9238525805671,14.6183238908084
"FBgn0000283","chr3R",76.4203259511251,70.3503843263159,75.7186541645549,82.8037310845543
"FBgn0000286","chr2L",9.04226193785769,13.6066199414919,11.1580256136957,10.6768324427719
"FBgn0000289","chr2R",37.5861771153216,37.6111078763267,40.4495205188889,37.0117737963672
"FBgn0000299","chr2L",164.600907231684,152.910733661131,179.348895666083,155.75090330598
"FBgn0000303","chr3R",0.805348195715305,0.420115732500408,0.430641677002895,1.977936608107
"FBgn0000307","chr2L",30.1014958785762,31.515909817022,23.8040797461819,37.094821106721
"FBgn0000308","chr2L",95.6697391590346,98.1669563160625,106.469346505074,84.9810144100506
"FBgn0000316","chrX",20.8831829579542,24.2085866350807,31.0189119922774,21.3704727791926
"FBgn0000317","chr2L",9.0500808384343,10.4912008132492,6.72128529486126,10.2902845901652
"FBgn0000318","chr2L",97.0814635593273,103.999531665074,143.685304975722,143.698006618709
"FBgn0000319","chrX",44.9413914224867,59.3614180432547,42.363026350505,54.8342991575794
"FBgn0000320","chr2L",0.885573725949549,2.02110108691073,1.47981393514629,2.71871331719065
"FBgn0000326","chr2R",32.1377030984925,30.7355878797306,45.8264203599156,46.0426494796721
"FBgn0000330","chrX",18.1918330582771,18.4525867818044,16.2127833601525,34.129924969938
"FBgn0000337","chr2R",4.76166555453434,19.8716592202792,7.63857788708506,14.6183238908084
"FBgn0000339","chr2L",82.9140787285374,106.165794422151,96.7340128517885,92.5623297967507
"FBgn0000346","chrX",4.3647456395472,1.6263580339643,1.66710622090982,7.65701649429135
"FBgn0000351","chr2L",30.9934933585461,31.7585337129014,23.6758106211751,23.7875234638961
"FBgn0000352","chr2R",37.2044287810246,30.8244076131533,31.5967090976205,44.3433343859267
"FBgn0000370","chr2L",38.4385877971162,44.9211693752501,40.7079197946607,36.781262467209
"FBgn0000376","chrX",25.7982304386661,18.6914363660361,17.882431326082,30.8002430883906
"FBgn0000377","chrX",31.6713543999794,44.8443209591169,31.4517138897558,50.0045805088683
"FBgn0000382","chrX",14.0984517001073,14.4464565009774,15.0776543998735,12.3663652050627
"FBgn0000384","chr2L",21.3558668876017,23.8000372946968,21.2819171965576,20.2647909814566
"FBgn0000394","chrX",3.50713199506585,18.2952086429404,9.37679634635685,2.15338061207885
"FBgn0000395","chr2R",23.9619927128545,18.6807332653316,25.0588928134812,23.3448336534306
"FBgn0000404","chr3L",43.8095446106494,35.349042434966,43.8187167124226,31.9305625502394
"FBgn0000405","chr2R",142.563738709496,143.14465930161,131.552047533049,127.815423712922
"FBgn0000412","chr3R",55.4953507102556,72.3738813784089,53.9543268881621,80.0226722828618
"FBgn0000414","chr3L",10.2454794396142,13.588039128655,8.82137425415639,14.3940408268559
"FBgn0000416","chr3R",67.1940929163978,80.579968613851,87.7613197161523,75.8753160005948
"FBgn0000422","chr2L",3.95829796816902,2.949821241828,3.02372862563137,3.47199531594404
"FBgn0000426","chr2R",213.396187641406,229.899319251782,272.868798055099,227.870181851572
"FBgn0000447","chr3R",131.834126585934,140.502403634531,185.71344664054,130.558407470696
"FBgn0000454","chr3R",22.9706794047548,28.292773365945,47.7674154371435,48.9722479813092
